step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.690262438846933,0,0.0,0.9365247020407135,0,0.0
10.0,0,0.0,0.0,12.808333140077936,0,0.0,0.9367966292790311,0,0.0
15.0,0,0.0,0.0,8.045465713629657,0,0.0,0.6133216754322846,0,0.0
20.0,0,0.0,0.0,8.21316936867596,0,0.0,0.6271769260512182,0,0.0
25.0,2,8.0,0.4444444444444444,10.416068785402727,2,8.0,0.6831954992635367,2,8.0
30.0,3,20.0,0.9090909090909091,11.012205268239477,3,20.0,0.6695198180012546,3,20.0
35.0,3,35.0,1.4583333333333333,10.719680993517501,3,35.0,0.7454700526510903,3,35.0
40.0,3,50.0,2.0833333333333335,10.353902660818553,3,50.0,0.6973049273663309,3,50.0
45.0,1,1.0,0.041666666666666664,8.643187049333434,1,16.0,0.5778309959211722,1,16.0
50.0,5,15.0,0.625,8.719530560432517,5,15.0,0.4920427701575385,5,15.0
55.0,2,7.0,0.25925925925925924,8.963769274169294,2,26.0,0.5924632886194157,2,26.0
60.0,1,2.0,0.06896551724137931,9.640877553797353,1,9.0,0.6492050647977917,1,9.0
65.0,3,14.0,0.5,9.44633960108783,3,14.0,0.5756169166181977,3,14.0
70.0,2,2.0,0.07142857142857142,7.199150647322445,2,13.0,0.4073804673473563,2,13.0
75.0,6,28.0,1.037037037037037,8.276625308812077,6,28.0,0.48187908259984386,6,28.0
80.0,6,18.0,0.72,6.83377063823908,6,48.0,0.33376560550581463,6,48.0
85.0,5,32.0,1.391304347826087,8.151199425641874,5,41.0,0.4271223101479886,5,41.0
90.0,1,2.0,0.08333333333333333,8.300238091560992,1,29.0,0.4036189802489493,1,29.0
95.0,7,27.0,1.08,8.976386689403903,7,30.0,0.4996679566599563,7,30.0
100.0,4,13.0,0.48148148148148145,7.664756767651482,4,41.0,0.5144679687467091,4,41.0
105.0,2,13.0,0.52,8.202488081683668,2,23.0,0.48722240655839644,2,23.0
110.0,3,26.0,1.0,9.03342042369582,3,26.0,0.4958848253756077,3,26.0
115.0,1,1.0,0.037037037037037035,8.384556113520286,1,14.0,0.4849911567107614,1,14.0
120.0,5,23.0,1.0454545454545454,8.163148221939053,5,23.0,0.3520543966812499,5,23.0
125.0,2,6.0,0.3157894736842105,6.78381488664811,2,30.0,0.25297796232721365,2,30.0
130.0,1,1.0,0.058823529411764705,9.668272890730766,1,10.0,0.5092419326677529,1,10.0
135.0,1,6.0,0.35294117647058826,11.604049191216095,1,6.0,0.7540507300639072,1,6.0
140.0,1,1.0,0.05,11.320475950202916,1,1.0,0.8752548594851767,1,1.0
145.0,1,6.0,0.3157894736842105,10.41491297101594,1,6.0,0.7217627856173526,1,6.0
150.0,2,2.0,0.1,7.916747054157527,2,5.0,0.5617121300490746,2,5.0
155.0,2,12.0,0.5454545454545454,9.276972396807706,2,12.0,0.6080498322388413,2,12.0
160.0,3,27.0,1.0384615384615385,10.968260239344325,3,27.0,0.6951013220827275,3,27.0
165.0,1,1.0,0.03571428571428571,9.122453605294321,1,9.0,0.5979801879350881,1,9.0
170.0,6,23.0,0.8518518518518519,8.295353919274689,6,23.0,0.4666689537732547,6,23.0
175.0,5,15.0,0.5769230769230769,6.375847830572938,5,41.0,0.3396978558922573,5,41.0
180.0,3,10.0,0.38461538461538464,7.774468338084399,3,32.0,0.43071883108486786,3,32.0
185.0,5,34.0,1.096774193548387,10.150603480141584,5,36.0,0.6329105753974197,5,36.0
190.0,2,5.0,0.14705882352941177,8.939996041033467,2,33.0,0.5829098794757993,2,33.0
195.0,6,27.0,0.84375,7.34653379199699,6,29.0,0.42204487909347127,6,29.0
200.0,7,21.0,0.6,6.578314808481162,7,47.0,0.365300392310304,7,47.0
205.0,4,21.0,0.6,6.079531137059445,4,52.0,0.28814478871971383,4,52.0
210.0,6,48.0,1.3333333333333333,6.621226569606303,6,58.0,0.31732460035802673,6,58.0
215.0,2,7.0,0.1891891891891892,6.953674621901522,2,54.0,0.4240859710349775,2,54.0
220.0,7,27.0,0.7105263157894737,6.893145237888702,7,39.0,0.3793560784394443,7,39.0
225.0,10,32.0,0.8205128205128205,5.7406393431917175,10,66.0,0.2858480554776087,10,66.0
230.0,9,35.0,0.9722222222222222,4.984183948041217,9,86.0,0.22124702634617135,9,86.0
235.0,9,66.0,1.6923076923076923,6.492229538739157,9,103.0,0.27957816470063374,9,103.0
