episode,cumulative_reward,average_cumulative_reward,mean_lane_density,mean_queue_length,avg_travel_time,avg_time_loss,avg_waiting_time,collisions,emergency_stops,emergency_braking
0,-22838.0,-20564.374419646003,6.537888340965129,97.25,87.51341890315052,65.94,47.95,0.0,0.0,0.0
1,-22996.0,-20726.56386147397,6.575537160972174,97.62,87.61260210035006,66.08,47.48,0.0,0.0,0.0
2,-22938.0,-20666.52474711379,6.567907713983797,97.7,87.7942196531792,66.27,48.14,0.0,0.0,0.0
3,-22937.0,-20666.307158639735,6.56054948925678,97.665,88.45677570093459,67.0,48.63,0.0,0.0,0.0
4,-22895.0,-20624.39591878109,6.5507819654808035,97.175,86.8881118881119,65.29,46.95,0.0,0.0,0.0
5,-22695.0,-20415.04011680451,6.496458259950686,96.38,88.28354725787631,66.68,48.48,0.0,0.0,0.0
6,-23037.0,-20765.032157370493,6.580871785840085,97.705,87.56177156177156,66.06,47.55,0.0,0.0,0.0
7,-23129.0,-20838.537123073376,6.604589644240931,98.275,90.44457547169812,68.94,50.16,0.0,0.0,0.0
8,-22883.0,-20609.99834205011,6.542573089115887,96.965,86.93624557260921,65.36,46.85,0.0,0.0,0.0
9,-22906.0,-20641.583798527612,6.549267347657626,97.42,87.20420070011669,65.65,47.4,0.0,0.0,0.0
10,-23201.0,-20922.956913964663,6.629131736526946,98.635,88.10187353629976,66.53,48.14,0.0,0.0,0.0
11,-23121.0,-20841.20113380846,6.608436069038394,98.015,87.52133794694349,66.12,47.78,0.0,0.0,0.0
12,-22915.0,-20632.56109591305,6.559434660091582,97.6,87.07035755478663,65.5,47.62,0.0,0.0,0.0
13,-23125.0,-20847.047635026487,6.607604790419162,98.385,88.34305717619603,66.88,48.42,0.0,0.0,0.0
14,-22886.0,-20622.61566943576,6.554924269108841,97.745,86.37601862630966,64.8,46.88,0.0,0.0,0.0
15,-22940.0,-20666.619824475063,6.5636033814723485,97.56,87.03019744483159,65.53,47.4,0.0,0.0,0.0
16,-23031.0,-20762.480429090625,6.595253610426207,98.07,87.80858468677494,65.97,47.72,0.0,0.0,0.0
17,-22989.0,-20715.926515764397,6.574776329693554,97.495,87.61976744186046,66.0,47.77,0.0,0.0,0.0
18,-23060.0,-20771.922824030502,6.58715392743924,98.095,88.28823529411764,66.72,48.45,0.0,0.0,0.0
19,-22867.0,-20598.413912444757,6.541264529764003,97.28,87.5625730994152,66.03,47.8,0.0,0.0,0.0
20,-22925.0,-20649.504266055323,6.550452624163438,97.295,87.43779342723005,66.03,47.52,0.0,0.0,0.0
21,-22911.0,-20640.68815919934,6.555343430785488,97.405,87.4766355140187,65.9,47.72,0.0,0.0,0.0
22,-23105.0,-20830.187777139883,6.605871785840085,98.175,88.67605633802818,67.08,48.51,0.0,0.0,0.0
23,-22906.0,-20623.107361533934,6.550607608312787,97.45,87.86432748538012,66.27,48.09,0.0,0.0,0.0
24,-23114.0,-20840.497464083706,6.607418104966539,97.98,88.48014018691589,66.87,48.26,0.0,0.0,0.0
25,-23017.0,-20734.18626584687,6.576593871081367,97.76,89.01410105757932,67.42,48.88,0.0,0.0,0.0
26,-23068.0,-20795.087329696446,6.5838552307150415,97.91,87.86052009456264,66.34,47.69,0.0,0.0,0.0
27,-22969.0,-20704.223586166456,6.569873194786896,97.75,87.58672875436554,66.1,47.82,0.0,0.0,0.0
28,-22955.0,-20691.55451520538,6.562650581190561,97.48,88.85249709639953,67.27,49.06,0.0,0.0,0.0
29,-23014.0,-20745.356224700874,6.575736174709404,98.14,87.79289940828403,66.2,47.85,0.0,0.0,0.0
30,-23006.0,-20736.15841919097,6.578925678055653,97.82,87.75700934579439,66.13,47.76,0.0,0.0,0.0
31,-22919.0,-20641.10045125475,6.554628390278267,97.225,87.8546307151231,66.19,47.74,0.0,0.0,0.0
32,-23082.0,-20798.749948307574,6.588075026417752,97.985,88.00823529411765,66.49,48.1,0.0,0.0,0.0
33,-22853.0,-20575.259814086592,6.540646354350124,96.885,86.52083333333333,65.01,46.76,0.0,0.0,0.0
34,-22992.0,-20732.43513164809,6.578983797111659,97.64,87.74361948955917,66.13,47.71,0.0,0.0,0.0
35,-22943.0,-20677.010355820294,6.567076435364566,97.765,87.42374854481956,65.81,47.8,0.0,0.0,0.0
36,-22872.0,-20594.53505258169,6.539441704825642,97.23,87.90877192982457,66.44,48.21,0.0,0.0,0.0
37,-23000.0,-20735.581418732614,6.573571680169074,97.475,87.87892898719441,66.38,47.83,0.0,0.0,0.0
38,-22925.0,-20650.760053371385,6.555234237407538,97.35,87.0813953488372,65.61,47.33,0.0,0.0,0.0
39,-22977.0,-20708.45002598969,6.569873194786896,97.745,87.82578397212544,66.27,48.15,0.0,0.0,0.0
40,-23041.0,-20761.561663790726,6.580891158858753,98.03,88.14469078179697,66.59,48.53,0.0,0.0,0.0
41,-22915.0,-20645.580695997778,6.555794293765411,97.315,88.43676814988291,66.82,48.29,0.0,0.0,0.0
42,-23139.0,-20860.116644775288,6.618358576963719,98.525,87.39033018867924,65.71,47.28,0.0,0.0,0.0
43,-22844.0,-20559.929285187038,6.526967241986615,96.845,86.63348946135831,65.23,46.94,0.0,0.0,0.0
44,-22922.0,-20648.654608876797,6.556303275801339,97.465,87.62177985948477,66.14,48.06,0.0,0.0,0.0
45,-22939.0,-20665.115935174497,6.55117470940472,97.27,88.44405182567726,66.98,48.42,0.0,0.0,0.0
46,-23009.0,-20740.98051442267,6.573513561113068,97.565,87.58303886925795,66.06,47.43,0.0,0.0,0.0
47,-22966.0,-20692.414546768425,6.5619478689679465,97.78,88.98938679245283,67.47,48.91,0.0,0.0,0.0
48,-23184.0,-20911.45582611332,6.6239450510743225,98.625,87.6905041031653,66.05,47.75,0.0,0.0,0.0
49,-23098.0,-20818.592398197234,6.597476224022544,98.33,88.41598119858989,66.97,48.74,0.0,0.0,0.0
50,-22993.0,-20724.199028594252,6.570324057766819,97.49,88.48711943793911,66.83,48.19,0.0,0.0,0.0
51,-22701.0,-20435.32260807771,6.499402958788306,96.305,87.62266355140187,66.12,47.79,0.0,0.0,0.0
52,-23209.0,-20929.43107861839,6.625755547728073,98.655,86.45774647887323,64.91,46.64,0.0,0.0,0.0
53,-22998.0,-20733.738635736936,6.577205001761183,98.02,88.3803967327888,66.91,48.78,0.0,0.0,0.0
54,-23088.0,-20818.586918086494,6.599756956674886,98.11,89.57593457943925,68.05,49.66,0.0,0.0,0.0
55,-23077.0,-20803.365992742067,6.6033585769637195,98.165,86.54069767441861,64.88,46.85,0.0,0.0,0.0
56,-22910.0,-20626.41153285546,6.557752729834449,97.185,87.36184971098265,65.91,47.5,0.0,0.0,0.0
57,-22927.0,-20649.637277328,6.559022543148997,97.16,87.01853997682502,65.54,47.15,0.0,0.0,0.0
58,-22950.0,-20662.793318417793,6.565001761183517,97.515,86.82072176949941,65.28,47.1,0.0,0.0,0.0
59,-23014.0,-20730.866064475063,6.579776329693555,97.645,88.1025641025641,66.65,48.22,0.0,0.0,0.0
60,-23068.0,-20784.09640499932,6.595234237407539,97.88,89.0942956926659,67.5,48.78,0.0,0.0,0.0
61,-22983.0,-20711.964307875456,6.5740419161676655,97.38,86.81344148319815,65.22,46.84,0.0,0.0,0.0
62,-22984.0,-20705.712863836095,6.573365621697782,97.6,86.87032710280374,65.26,46.91,0.0,0.0,0.0
63,-22971.0,-20705.93989638908,6.568680873547023,97.62,86.95454545454545,65.38,47.06,0.0,0.0,0.0
64,-22842.0,-20588.69577824213,6.539454033110251,96.935,88.44730679156909,66.86,48.2,0.0,0.0,0.0
65,-23096.0,-20829.219702470087,6.60128390278267,98.205,89.09122807017543,67.42,49.17,0.0,0.0,0.0
66,-22986.0,-20713.37247227998,6.5754015498414935,97.85,86.37906976744186,64.78,46.86,0.0,0.0,0.0
67,-22809.0,-20538.08647214816,6.524815075730892,96.99,88.10340775558167,66.47,48.09,0.0,0.0,0.0
68,-23076.0,-20810.58619050168,6.59715392743924,97.99,87.47658079625293,65.92,47.45,0.0,0.0,0.0
69,-22928.0,-20646.982209411806,6.550588235294117,97.405,87.60895170789163,66.18,47.71,0.0,0.0,0.0
70,-23013.0,-20737.941525640734,6.58117470940472,97.755,88.47719298245615,66.85,48.32,0.0,0.0,0.0
71,-22985.0,-20725.114560010403,6.568777738640367,97.68,88.64268867924528,67.08,48.65,0.0,0.0,0.0
72,-22928.0,-20663.23023106715,6.564306093694963,97.755,87.63699421965318,66.08,48.14,0.0,0.0,0.0
73,-23067.0,-20787.73990383565,6.596851003874604,97.985,88.17050691244239,66.63,48.28,0.0,0.0,0.0
74,-23086.0,-20818.226245217094,6.603661500528355,98.5,87.6280701754386,65.82,47.66,0.0,0.0,0.0
75,-22990.0,-20708.417211130836,6.577662909475168,97.795,88.55854800936768,67.05,48.63,0.0,0.0,0.0
76,-22897.0,-20616.458782898808,6.540588235294117,96.995,87.30877192982456,65.89,47.44,0.0,0.0,0.0
77,-23013.0,-20734.174324058225,6.580137372314195,97.64,88.69421487603306,67.0,48.33,0.0,0.0,0.0
78,-23117.0,-20854.566143826774,6.6027597745685105,98.28,86.9860465116279,65.5,47.27,0.0,0.0,0.0
79,-22835.0,-20563.58705251461,6.53617470940472,96.925,85.77880184331798,64.08,46.34,0.0,0.0,0.0
80,-23004.0,-20731.27913417561,6.569815075730892,97.59,88.68625146886016,67.08,48.64,0.0,0.0,0.0
81,-22930.0,-20651.489701069444,6.554963015146178,97.5,89.53301886792453,67.95,49.37,0.0,0.0,0.0
82,-22954.0,-20695.948062483418,6.572231419513913,97.66,87.36165327210104,65.87,47.75,0.0,0.0,0.0
83,-22785.0,-20519.728973489862,6.5235716801690735,96.655,87.62774566473989,66.12,47.84,0.0,0.0,0.0
84,-22957.0,-20676.805173196506,6.5650405072208535,97.455,86.09080325960419,64.48,46.34,0.0,0.0,0.0
85,-22915.0,-20639.730609346287,6.556458259950687,97.2,87.50635838150289,65.98,47.6,0.0,0.0,0.0
86,-23056.0,-20788.49755042934,6.59436421275097,97.86,88.24825986078886,66.65,48.24,0.0,0.0,0.0
87,-22978.0,-20693.126953455077,6.568552307150405,97.415,86.71378504672897,65.21,46.95,0.0,0.0,0.0
88,-22995.0,-20723.155403251487,6.568307502641776,97.58,88.09389671361502,66.53,48.0,0.0,0.0,0.0
89,-23106.0,-20834.05404307065,6.593377949982389,98.215,89.65284360189574,68.19,49.59,0.0,0.0,0.0
90,-22712.0,-20439.15440069286,6.505066924973582,96.33,88.73176470588236,67.07,48.32,0.0,0.0,0.0
91,-22872.0,-20596.39407552633,6.543649172243748,96.715,87.4696261682243,65.84,47.29,0.0,0.0,0.0
92,-22943.0,-20656.086504605613,6.556155336386052,97.15,86.84866123399301,65.35,47.0,0.0,0.0,0.0
93,-23026.0,-20766.270057252063,6.58483444874956,97.71,88.76615746180964,67.15,48.35,0.0,0.0,0.0
94,-22994.0,-20727.36403896286,6.576606199365974,97.805,88.68329466357308,67.05,48.9,0.0,0.0,0.0
95,-23063.0,-20796.25562446333,6.598925678055655,98.17,87.75086906141367,66.16,48.12,0.0,0.0,0.0
96,-23058.0,-20770.492218735384,6.588591053187742,97.775,87.61955241460542,65.96,47.42,0.0,0.0,0.0
97,-23017.0,-20733.676874594217,6.583816484677705,97.96,85.98023255813953,64.55,46.53,0.0,0.0,0.0
98,-23138.0,-20867.751953430434,6.610755547728075,98.485,87.67790697674418,66.3,48.19,0.0,0.0,0.0
99,-22992.0,-20715.509211746932,6.577965833039802,97.54,88.37601862630966,66.8,48.46,0.0,0.0,0.0
