episode,cumulative_reward,average_cumulative_reward,mean_lane_density,mean_queue_length,avg_travel_time,avg_time_loss,avg_waiting_time,collisions,emergency_stops,emergency_braking
0,-7499.0,-6649.962846645248,2.1317365269461077,34.48,85.47265625,63.69,51.78,0.0,0.0,0.0
1,-7508.0,-6589.443130837056,2.1150017611835152,34.66,94.9375,73.52,61.17,0.0,0.0,0.0
2,-7508.0,-6589.443130837056,2.1150017611835152,34.66,94.9375,73.52,61.17,0.0,0.0,0.0
3,-5711.0,-5019.077391676362,1.6743571680169071,25.915,76.37943262411348,54.63,44.8,0.0,0.0,0.0
4,-5711.0,-5019.077391676362,1.6743571680169071,25.915,76.37943262411348,54.63,44.8,0.0,0.0,0.0
5,-5913.0,-5001.396259976411,1.6948643888693204,28.03,54.26905829596413,32.56,26.41,0.0,0.0,0.0
6,-5913.0,-5001.396259976411,1.6948643888693204,28.03,54.26905829596413,32.56,26.41,0.0,0.0,0.0
7,-5913.0,-5001.396259976411,1.6948643888693204,28.03,54.26905829596413,32.56,26.41,0.0,0.0,0.0
8,-8570.0,-7373.482214979839,2.415364564987672,39.71,87.43373493975903,65.75,54.12,0.0,0.0,0.0
9,-8570.0,-7373.482214979839,2.415364564987672,39.71,87.43373493975903,65.75,54.12,0.0,0.0,0.0
10,-8178.0,-7096.192667280907,2.3198538217682283,38.02,78.7593984962406,56.97,46.34,0.0,0.0,0.0
11,-8178.0,-7096.192667280907,2.3198538217682283,38.02,78.7593984962406,56.97,46.34,0.0,0.0,0.0
12,-5226.0,-4459.541057404428,1.5306445931666082,24.26,66.74193548387096,45.18,37.35,0.0,0.0,0.0
13,-5226.0,-4459.541057404428,1.5306445931666082,24.26,66.74193548387096,45.18,37.35,0.0,0.0,0.0
14,-7386.0,-6321.734632353072,2.092407537865445,35.02,67.4602510460251,45.95,38.6,0.0,0.0,0.0
15,-7386.0,-6321.734632353072,2.092407537865445,35.02,67.4602510460251,45.95,38.6,0.0,0.0,0.0
16,-7386.0,-6321.734632353072,2.092407537865445,35.02,67.4602510460251,45.95,38.6,0.0,0.0,0.0
17,-6128.0,-5288.557842342078,1.7682881296231068,28.44,73.604,52.14,43.31,0.0,0.0,0.0
18,-6128.0,-5288.557842342078,1.7682881296231068,28.44,73.604,52.14,43.31,0.0,0.0,0.0
19,-6424.0,-5580.208079900443,1.848714336033815,29.9,68.96031746031746,47.08,38.11,0.0,0.0,0.0
20,-6424.0,-5580.208079900443,1.848714336033815,29.9,68.96031746031746,47.08,38.11,0.0,0.0,0.0
21,-8379.0,-7332.160338442499,2.3641229306093696,37.615,109.63306451612904,87.64,70.91,0.0,0.0,0.0
22,-8379.0,-7332.160338442499,2.3641229306093696,37.615,109.63306451612904,87.64,70.91,0.0,0.0,0.0
23,-6489.0,-5692.376350669241,1.8797252553716097,29.64,74.94927536231884,53.48,43.13,0.0,0.0,0.0
24,-6489.0,-5692.376350669241,1.8797252553716097,29.64,74.94927536231884,53.48,43.13,0.0,0.0,0.0
25,-7576.0,-6538.249402785716,2.1482722789714686,34.84,93.91093117408907,72.24,60.48,0.0,0.0,0.0
26,-7576.0,-6538.249402785716,2.1482722789714686,34.84,93.91093117408907,72.24,60.48,0.0,0.0,0.0
27,-6806.0,-5904.839381988674,1.951683691440648,29.75,108.51394422310757,86.97,70.18,0.0,0.0,0.0
28,-6806.0,-5904.839381988674,1.951683691440648,29.75,108.51394422310757,86.97,70.18,0.0,0.0,0.0
29,-6806.0,-5904.839381988674,1.951683691440648,29.75,108.51394422310757,86.97,70.18,0.0,0.0,0.0
30,-6938.0,-6048.527241037287,1.985294117647059,32.175,80.0515873015873,58.43,48.63,0.0,0.0,0.0
31,-6938.0,-6048.527241037287,1.985294117647059,32.175,80.0515873015873,58.43,48.63,0.0,0.0,0.0
32,-5733.0,-4830.062575562828,1.6594082423388516,26.6,71.0954356846473,49.59,41.07,0.0,0.0,0.0
33,-5733.0,-4830.062575562828,1.6594082423388516,26.6,71.0954356846473,49.59,41.07,0.0,0.0,0.0
34,-5733.0,-4830.062575562828,1.6594082423388516,26.6,71.0954356846473,49.59,41.07,0.0,0.0,0.0
35,-6535.0,-5599.602450732054,1.878797111659035,30.64,65.99607843137255,44.21,36.28,0.0,0.0,0.0
36,-6535.0,-5599.602450732054,1.878797111659035,30.64,65.99607843137255,44.21,36.28,0.0,0.0,0.0
37,-7652.0,-6627.365378067923,2.17237583656217,35.28,89.688,68.18,56.54,0.0,0.0,0.0
38,-7652.0,-6627.365378067923,2.17237583656217,35.28,89.688,68.18,56.54,0.0,0.0,0.0
39,-7981.0,-6867.58020974944,2.2666537513208875,36.975,81.19291338582677,59.4,48.24,0.0,0.0,0.0
40,-7981.0,-6867.58020974944,2.2666537513208875,36.975,81.19291338582677,59.4,48.24,0.0,0.0,0.0
41,-7334.0,-6282.779952274282,2.094249735822473,34.44,73.04980842911877,51.41,43.18,0.0,0.0,0.0
42,-7334.0,-6282.779952274282,2.094249735822473,34.44,73.04980842911877,51.41,43.18,0.0,0.0,0.0
43,-6762.0,-6078.751687225817,1.9431542796759425,30.915,95.71814671814671,74.06,62.67,0.0,0.0,0.0
44,-6762.0,-6078.751687225817,1.9431542796759425,30.915,95.71814671814671,74.06,62.67,0.0,0.0,0.0
45,-6762.0,-6078.751687225817,1.9431542796759425,30.915,95.71814671814671,74.06,62.67,0.0,0.0,0.0
46,-6357.0,-5397.450117847136,1.8408259950686863,29.54,63.666666666666664,41.81,33.12,0.0,0.0,0.0
47,-6357.0,-5397.450117847136,1.8408259950686863,29.54,63.666666666666664,41.81,33.12,0.0,0.0,0.0
48,-6064.0,-5276.985157449728,1.7521539274392393,28.505,67.46963562753037,45.87,38.23,0.0,0.0,0.0
49,-6064.0,-5276.985157449728,1.7521539274392393,28.505,67.46963562753037,45.87,38.23,0.0,0.0,0.0
50,-5888.0,-4938.625715800962,1.692152166255724,27.89,58.64069264069264,37.15,30.91,0.0,0.0,0.0
51,-5888.0,-4938.625715800962,1.692152166255724,27.89,58.64069264069264,37.15,30.91,0.0,0.0,0.0
52,-5888.0,-4938.625715800962,1.692152166255724,27.89,58.64069264069264,37.15,30.91,0.0,0.0,0.0
53,-7280.0,-6379.917063761574,2.0588112011271575,33.82,92.13983050847457,70.87,60.25,0.0,0.0,0.0
54,-7280.0,-6379.917063761574,2.0588112011271575,33.82,92.13983050847457,70.87,60.25,0.0,0.0,0.0
55,-7037.0,-6012.601371403165,2.004461077844311,33.165,68.17991631799163,46.33,38.14,0.0,0.0,0.0
56,-7037.0,-6012.601371403165,2.004461077844311,33.165,68.17991631799163,46.33,38.14,0.0,0.0,0.0
57,-7037.0,-6012.601371403165,2.004461077844311,33.165,68.17991631799163,46.33,38.14,0.0,0.0,0.0
58,-8491.0,-7352.734794500868,2.400648115533639,39.51,82.6145038167939,60.97,50.13,0.0,0.0,0.0
59,-8491.0,-7352.734794500868,2.400648115533639,39.51,82.6145038167939,60.97,50.13,0.0,0.0,0.0
60,-7873.0,-6843.391677859242,2.232724550898203,36.375,92.1178861788618,70.37,58.43,0.0,0.0,0.0
61,-7227.0,-6563.004058723304,2.057942937654104,32.745,111.75,90.05,75.52,0.0,0.0,0.0
62,-7227.0,-6563.004058723304,2.057942937654104,32.745,111.75,90.05,75.52,0.0,0.0,0.0
63,-6830.0,-5883.407822614889,1.9624321944346599,31.695,81.02298850574712,59.35,50.26,0.0,0.0,0.0
64,-6830.0,-5883.407822614889,1.9624321944346599,31.695,81.02298850574712,59.35,50.26,0.0,0.0,0.0
65,-7163.0,-6247.911487143986,2.049365973934484,32.33,89.7824427480916,68.3,54.97,0.0,0.0,0.0
66,-7163.0,-6247.911487143986,2.049365973934484,32.33,89.7824427480916,68.3,54.97,0.0,0.0,0.0
67,-6852.0,-6094.657106165758,1.9747270165551252,31.045,93.90262172284645,72.11,59.52,0.0,0.0,0.0
68,-6852.0,-6094.657106165758,1.9747270165551252,31.045,93.90262172284645,72.11,59.52,0.0,0.0,0.0
69,-7215.0,-6256.842909053657,2.061858048608665,34.015,65.46946564885496,43.79,36.14,0.0,0.0,0.0
70,-8711.0,-7637.015025557428,2.445042268404367,40.05,96.04149377593362,74.29,60.65,0.0,0.0,0.0
71,-8711.0,-7637.015025557428,2.445042268404367,40.05,96.04149377593362,74.29,60.65,0.0,0.0,0.0
72,-6425.0,-5734.084762154534,1.860563578724903,29.055,83.43478260869566,62.1,50.08,0.0,0.0,0.0
73,-8588.0,-7577.733968162796,2.4333515322296586,38.59,101.72463768115942,80.15,64.84,0.0,0.0,0.0
74,-5256.0,-4426.434131666896,1.5275642831983094,25.06,53.23245614035088,31.41,26.04,0.0,0.0,0.0
75,-7202.0,-6155.758055934109,2.0519091229306095,33.91,72.93522267206478,51.11,42.81,0.0,0.0,0.0
76,-7202.0,-6155.758055934109,2.0519091229306095,33.91,72.93522267206478,51.11,42.81,0.0,0.0,0.0
77,-8087.0,-7190.811964371293,2.293698485382177,37.365,91.26254826254826,69.5,58.0,0.0,0.0,0.0
78,-8433.0,-7457.517444335769,2.4063737231419515,38.215,98.89895470383276,77.14,63.09,0.0,0.0,0.0
79,-8433.0,-7457.517444335769,2.4063737231419515,38.215,98.89895470383276,77.14,63.09,0.0,0.0,0.0
80,-9800.0,-8569.694957262698,2.7311764705882355,44.48,115.76229508196721,94.21,77.98,0.0,0.0,0.0
81,-8428.0,-7435.598392070617,2.3791528707291305,39.015,87.7578125,65.8,53.88,0.0,0.0,0.0
82,-8428.0,-7435.598392070617,2.3791528707291305,39.015,87.7578125,65.8,53.88,0.0,0.0,0.0
83,-7413.0,-6427.4385631600935,2.1034237407537866,35.0,65.03719008264463,43.36,35.52,0.0,0.0,0.0
84,-7413.0,-6427.4385631600935,2.1034237407537866,35.0,65.03719008264463,43.36,35.52,0.0,0.0,0.0
85,-7413.0,-6427.4385631600935,2.1034237407537866,35.0,65.03719008264463,43.36,35.52,0.0,0.0,0.0
86,-7725.0,-6720.728278008981,2.212518492426911,34.92,92.03191489361703,70.3,57.2,0.0,0.0,0.0
87,-7725.0,-6720.728278008981,2.212518492426911,34.92,92.03191489361703,70.3,57.2,0.0,0.0,0.0
88,-7648.0,-6676.398217410967,2.1803240577668195,35.375,72.87003610108303,51.5,41.51,0.0,0.0,0.0
89,-7648.0,-6676.398217410967,2.1803240577668195,35.375,72.87003610108303,51.5,41.51,0.0,0.0,0.0
90,-5431.0,-4698.862362140516,1.5873265234237408,25.175,64.03968253968254,42.46,34.46,0.0,0.0,0.0
91,-5431.0,-4698.862362140516,1.5873265234237408,25.175,64.03968253968254,42.46,34.46,0.0,0.0,0.0
92,-7364.0,-6269.865513998889,2.092374075378655,33.305,89.51012145748987,67.82,54.46,0.0,0.0,0.0
93,-7364.0,-6269.865513998889,2.092374075378655,33.305,89.51012145748987,67.82,54.46,0.0,0.0,0.0
94,-7364.0,-6269.865513998889,2.092374075378655,33.305,89.51012145748987,67.82,54.46,0.0,0.0,0.0
95,-7934.0,-6914.019585748705,2.2595033462486795,35.865,94.44528301886793,72.87,58.24,0.0,0.0,0.0
96,-7934.0,-6914.019585748705,2.2595033462486795,35.865,94.44528301886793,72.87,58.24,0.0,0.0,0.0
97,-7480.0,-6441.8064611326245,2.1237407537865445,34.635,85.9839357429719,64.45,53.41,0.0,0.0,0.0
98,-7480.0,-6441.8064611326245,2.1237407537865445,34.635,85.9839357429719,64.45,53.41,0.0,0.0,0.0
99,-7115.0,-6227.608035064638,2.0157731595632264,33.185,72.72413793103448,50.88,40.37,0.0,0.0,0.0
