step,option,action,obs,termination_prob,should_terminate,greedy_option,cumulative_reward,average_cumulative_reward,waiting_time,speed,lane_density,queue_length
5.0,0,2,"1.0, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.052835505, 0.15850651, 0.052835505, 0.0, 0.0, 0.10567101, 0.10567101, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-10.0,-0.5,0.0,12.812756409927733,0.528355054596689,0
10.0,0,0,"1.0, 0.0, 0.0, 0.0, 1.0, 0.15850651, 0.10567101, 0.36984855, 0.21134202, 0.0, 0.052835505, 0.21134202, 0.26417753, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-36.0,-2.275,0.0,11.479803391447458,1.3737231419513916,0
15.0,0,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.21134202, 0.15850651, 0.36984855, 0.42268404, 0.052835505, 0.10567101, 0.21134202, 0.36984855, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052835505",,True,0,-70.0,-5.66125,0.05,9.30646302057278,1.9020781965480804,1
20.0,0,2,"0.0, 0.0, 1.0, 0.0, 1.0, 0.26417753, 0.21134202, 0.31701303, 0.52835506, 0.15850651, 0.10567101, 0.31701303, 0.47551954, 0.052835505, 0.10567101, 0.0, 0.10567101, 0.0, 0.0, 0.0, 0.10567101, 0.052835505, 0.10567101, 0.0, 0.10567101, 0.0, 0.0, 0.0, 0.052835505",,True,0,-107.0,-10.7281875,0.4528301886792453,8.073022059958621,2.3775977456851,7
25.0,0,1,"0.0, 1.0, 0.0, 0.0, 0.0, 0.31701303, 0.21134202, 0.42268404, 0.6868616, 0.15850651, 0.052835505, 0.42268404, 0.63402605, 0.21134202, 0.0, 0.052835505, 0.21134202, 0.0, 0.0, 0.0, 0.26417753, 0.15850651, -0.10567101, 0.052835505, 0.10567101, 0.0, 0.0, 0.0, 0.15850651",,True,0,-155.0,-17.941778125,1.09375,6.548980121861512,2.9059528002817894,14
30.0,0,2,"0.0, 1.0, 0.0, 0.0, 1.0, 0.31701303, 0.21134202, 0.5811906, 0.79253256, 0.21134202, 0.10567101, 0.5811906, 0.7396971, 0.26417753, 0.0, 0.15850651, 0.42268404, 0.052835505, 0.0, 0.052835505, 0.36984855, 0.052835505, 0.0, 0.10567101, 0.21134202, 0.052835505, 0.0, 0.052835505, 0.10567101",,True,0,-216.0,-27.84468921875,2.2567567567567566,4.7029157166974995,3.539978865797816,25
35.0,0,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.31701303, 0.31701303, 0.63402605, 0.8453681, 0.36984855, 0.21134202, 0.6868616, 0.79253256, 0.31701303, 0.052835505, 0.10567101, 0.52835506, 0.15850651, 0.0, 0.10567101, 0.5811906, 0.052835505, 0.052835505, -0.052835505, 0.10567101, 0.10567101, 0.0, 0.052835505, 0.21134202",,True,0,-289.0,-40.9024547578125,3.5232558139534884,3.808250924400562,4.174004931313843,35
40.0,0,2,"0.0, 0.0, 1.0, 0.0, 1.0, 0.36984855, 0.36984855, 0.63402605, 0.8982036, 0.47551954, 0.21134202, 0.6868616, 0.8982036, 0.31701303, 0.15850651, 0.0, 0.7396971, 0.21134202, 0.0, 0.0, 0.7396971, 0.0, 0.10567101, -0.10567101, 0.21134202, 0.052835505, 0.0, -0.10567101, 0.15850651",,True,0,-369.0,-57.30733201992187,5.10752688172043,3.2537286240731844,4.543853469531525,41
45.0,0,2,"0.0, 0.0, 1.0, 0.0, 1.0, 0.52835506, 0.36984855, 0.5811906, 1.0, 0.52835506, 0.26417753, 0.5811906, 1.0, 0.31701303, 0.26417753, 0.0, 0.9510391, 0.26417753, 0.10567101, 0.0, 0.8982036, 0.0, 0.10567101, 0.0, 0.21134202, 0.052835505, 0.10567101, 0.0, 0.15850651",,True,0,-449.0,-76.89196541892578,6.846153846153846,3.143631740577995,4.8531172948221215,53
50.0,0,2,"0.0, 0.0, 1.0, 0.0, 1.0, 0.52835506, 0.36984855, 0.52835506, 1.0, 0.52835506, 0.31701303, 0.52835506, 1.0, 0.36984855, 0.36984855, 0.0, 1.0, 0.42268404, 0.21134202, 0.0, 1.0, 0.052835505, 0.10567101, 0.0, 0.0489609, 0.15850651, 0.10567101, 0.0, 0.1017964",,True,0,-528.0,-99.44736714797949,9.78640776699029,2.970115369656975,4.800281789362451,64
55.0,0,2,"0.0, 0.0, 1.0, 0.0, 1.0, 0.5811906, 0.36984855, 0.42268404, 1.0, 0.52835506, 0.36984855, 0.42268404, 1.0, 0.52835506, 0.36984855, 0.0, 1.0, 0.52835506, 0.26417753, 0.0, 1.0, 0.15850651, 0.0, 0.0, 0.0, 0.10567101, 0.052835505, 0.0, 0.0",,True,0,-604.0,-124.67499879058052,13.156862745098039,3.2696857499077465,4.6946107784431135,70
60.0,0,2,"0.0, 0.0, 1.0, 0.0, 1.0, 0.5811906, 0.52835506, 0.36984855, 1.0, 0.52835506, 0.36984855, 0.36984855, 1.0, 0.52835506, 0.36984855, 0.0, 1.0, 0.52835506, 0.26417753, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-680.0,-152.44124885105148,16.26923076923077,3.4612776694032985,4.747446283902783,70
65.0,0,2,"0.0, 0.0, 1.0, 0.0, 1.0, 0.5811906, 0.52835506, 0.31701303, 1.0, 0.5811906, 0.42268404, 0.36984855, 1.0, 0.5811906, 0.36984855, 0.0, 1.0, 0.52835506, 0.36984855, 0.0, 1.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.10567101, 0.0, 0.0",,True,0,-761.0,-182.8691864084989,20.15686274509804,3.1364875391425997,4.800281789362452,73
