step,option,action,obs,termination_prob,should_terminate,greedy_option,cumulative_reward,average_cumulative_reward,waiting_time,speed,lane_density,queue_length
5.0,0,2,"1.0, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-2.0,-0.1,0.0,13.599392767217438,0.1056710109193378,0
10.0,0,0,"1.0, 0.0, 0.0, 0.0, 1.0, 0.052835505, 0.0, 0.10567101, 0.10567101, 0.0, 0.0, 0.052835505, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-9.0,-0.545,0.0,13.616629549296462,0.36984853821768227,0
15.0,0,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.10567101, 0.0, 0.052835505, 0.10567101, 0.0, 0.0, 0.052835505, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-15.0,-1.26775,0.0,12.978398647999002,0.36984853821768227,0
20.0,0,0,"0.0, 0.0, 1.0, 0.0, 1.0, 0.10567101, 0.0, 0.0, 0.15850651, 0.0, 0.0, 0.0, 0.052835505, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-19.0,-2.1543625,0.1111111111111111,8.553926812871728,0.3170130327580134,1
25.0,0,1,"0.0, 1.0, 0.0, 0.0, 0.0, 0.15850651, 0.0, 0.0, 0.26417753, 0.0, 0.0, 0.0, 0.10567101, 0.10567101, 0.0, 0.0, 0.10567101, 0.0, 0.0, 0.0, 0.052835505, 0.052835505, 0.0, 0.0, 0.10567101, 0.0, 0.0, 0.0, 0.052835505",,True,0,-27.0,-3.396644375,1.4166666666666667,8.060006316688025,0.528355054596689,5
30.0,0,2,"0.0, 1.0, 0.0, 0.0, 1.0, 0.15850651, 0.0, 0.0, 0.26417753, 0.0, 0.0, 0.0, 0.10567101, 0.10567101, 0.0, 0.0, 0.10567101, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-36.0,-5.02681215625,3.8181818181818183,6.280731811549672,0.528355054596689,5
35.0,0,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.15850651, 0.0, 0.0, 0.26417753, 0.0, 0.0, 0.0, 0.10567101, 0.10567101, 0.0, 0.0, 0.21134202, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.10567101, 0.0, 0.0, 0.0, 0.0",,True,0,-46.0,-7.0754715484375,7.3,0.49528986984702766,0.528355054596689,7
40.0,0,2,"0.0, 0.0, 1.0, 0.0, 1.0, 0.15850651, 0.0, 0.0, 0.31701303, 0.0, 0.0, 0.0, 0.10567101, 0.15850651, 0.0, 0.0, 0.26417753, 0.0, 0.0, 0.0, 0.10567101, 0.052835505, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.052835505",,True,0,-57.0,-9.571697971015626,11.090909090909092,1.2495242464302956,0.5811905600563579,10
45.0,0,2,"0.0, 0.0, 1.0, 0.0, 1.0, 0.15850651, 0.0, 0.0, 0.31701303, 0.0, 0.0, 0.0, 0.10567101, 0.15850651, 0.0, 0.0, 0.26417753, 0.0, 0.0, 0.0, 0.10567101, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-68.0,-12.493113072464844,15.636363636363637,1.2440817998266864,0.5811905600563579,10
50.0,0,2,"0.0, 0.0, 1.0, 0.0, 1.0, 0.15850651, 0.0, 0.0, 0.31701303, 0.0, 0.0, 0.052835505, 0.10567101, 0.15850651, 0.0, 0.0, 0.26417753, 0.0, 0.0, 0.0, 0.10567101, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-80.0,-15.8684574188416,18.5,1.174215487851036,0.6340260655160268,10
