episode,cumulative_reward,average_cumulative_reward,mean_lane_density,mean_queue_length,avg_travel_time,avg_time_loss,avg_waiting_time,collisions,emergency_stops,emergency_braking
0,-24042.0,-21650.86551949403,6.771498767171539,86.945,155.15744680851063,133.42,91.08,0.0,0.0,0.0
1,-24032.0,-21652.22093042618,6.779482212046495,87.255,157.41988950276243,135.66,94.75,0.0,0.0,0.0
2,-24111.0,-21740.041049066574,6.798425501937301,87.505,152.3643949930459,130.7,88.92,0.0,0.0,0.0
3,-23939.0,-21561.31971252492,6.757787953504756,86.71,155.03511235955057,133.19,91.41,0.0,0.0,0.0
4,-24228.0,-21844.733543863174,6.82917928848186,87.94,155.21140472878997,133.45,91.75,0.0,0.0,0.0
5,-24064.0,-21666.166886558654,6.782465656921452,86.76,157.94142259414227,136.37,94.27,0.0,0.0,0.0
6,-24164.0,-21790.13439075639,6.807955265938711,87.66,154.8797202797203,133.09,91.45,0.0,0.0,0.0
7,-24128.0,-21762.77557961079,6.799082423388517,87.62,131.87029288702928,110.19,68.16,0.0,0.0,0.0
8,-23968.0,-21572.36159059925,6.755461430081015,86.23,148.58110014104372,126.95,84.45,0.0,0.0,0.0
9,-23928.0,-21544.554965007566,6.753837618879888,87.17,149.52631578947367,127.74,87.39,0.0,0.0,0.0
10,-24194.0,-21819.14901691459,6.819617823177175,87.475,157.49441340782124,135.75,93.87,0.0,0.0,0.0
11,-24042.0,-21658.386407222974,6.782278971468827,87.225,152.40940525587828,130.67,89.43,0.0,0.0,0.0
12,-23859.0,-21480.99381696457,6.733740753786544,86.045,143.2807745504841,121.58,80.11,0.0,0.0,0.0
13,-24203.0,-21826.124197095545,6.816634378302219,87.185,143.5120226308345,121.8,78.91,0.0,0.0,0.0
14,-23716.0,-21356.275351663062,6.70417928848186,85.54,144.2421340629275,122.46,81.44,0.0,0.0,0.0
15,-24293.0,-21927.20628271366,6.841253962662909,88.445,143.7037552155772,121.9,80.66,0.0,0.0,0.0
16,-24128.0,-21740.30552824577,6.791125396266291,86.78,147.20283687943262,125.58,82.12,0.0,0.0,0.0
17,-24014.0,-21650.4786427664,6.763522367030645,86.995,148.25811001410437,126.71,84.7,0.0,0.0,0.0
18,-23923.0,-21540.80850257247,6.745480803099683,86.57,152.3969144460028,130.79,88.75,0.0,0.0,0.0
19,-24088.0,-21714.023295516774,6.796183515322297,86.98,159.20470262793916,137.52,95.76,0.0,0.0,0.0
