episode,cumulative_reward,average_cumulative_reward,mean_lane_density,mean_queue_length,avg_travel_time,avg_time_loss,avg_waiting_time,collisions,emergency_stops,emergency_braking
0,-645.0,-556.2800309599693,0.3555829517435717,2.26,34.37623762376238,12.52,7.19,0.0,0.0,0.0
1,-700.0,-635.3027044016359,0.3698485382176823,2.345,35.2828947368421,13.27,7.6,0.0,0.0,0.0
2,-700.0,-635.3027044016359,0.3698485382176823,2.345,35.2828947368421,13.27,7.6,0.0,0.0,0.0
3,-595.0,-549.818836555486,0.3207115181401903,2.105,34.733333333333334,12.8,7.67,0.0,0.0,0.0
4,-595.0,-549.818836555486,0.3207115181401903,2.105,34.733333333333334,12.8,7.67,0.0,0.0,0.0
5,-595.0,-549.818836555486,0.3207115181401903,2.105,34.733333333333334,12.8,7.67,0.0,0.0,0.0
6,-823.0,-732.6795493646312,0.4174004931313843,2.78,35.46865671641791,13.85,8.13,0.0,0.0,0.0
7,-734.0,-668.0092868686804,0.38886932018316317,2.645,35.136222910216716,13.33,8.07,0.0,0.0,0.0
8,-734.0,-668.0092868686804,0.38886932018316317,2.645,35.136222910216716,13.33,8.07,0.0,0.0,0.0
9,-863.0,-802.5100670493273,0.43166607960549486,2.99,35.994169096209916,14.41,8.69,0.0,0.0,0.0
10,-863.0,-802.5100670493273,0.43166607960549486,2.99,35.994169096209916,14.41,8.69,0.0,0.0,0.0
11,-711.0,-648.8011688836983,0.3648291651990137,2.49,35.48494983277592,13.95,8.39,0.0,0.0,0.0
12,-711.0,-648.8011688836983,0.3648291651990137,2.49,35.48494983277592,13.95,8.39,0.0,0.0,0.0
13,-639.0,-575.8765671534636,0.35584712927087003,2.32,34.193548387096776,12.53,7.43,0.0,0.0,0.0
14,-639.0,-575.8765671534636,0.35584712927087003,2.32,34.193548387096776,12.53,7.43,0.0,0.0,0.0
15,-639.0,-575.8765671534636,0.35584712927087003,2.32,34.193548387096776,12.53,7.43,0.0,0.0,0.0
16,-677.0,-620.8749529008545,0.35769637196195847,2.375,34.90939597315436,12.92,7.69,0.0,0.0,0.0
17,-677.0,-620.8749529008545,0.35769637196195847,2.375,34.90939597315436,12.92,7.69,0.0,0.0,0.0
18,-625.0,-574.7332184696348,0.34739344839732295,2.18,34.376666666666665,12.6,7.36,0.0,0.0,0.0
19,-625.0,-574.7332184696348,0.34739344839732295,2.18,34.376666666666665,12.6,7.36,0.0,0.0,0.0
20,-625.0,-574.7332184696348,0.34739344839732295,2.18,34.376666666666665,12.6,7.36,0.0,0.0,0.0
21,-723.0,-634.3608797986432,0.37433955618175413,2.385,34.403225806451616,12.77,7.13,0.0,0.0,0.0
22,-723.0,-634.3608797986432,0.37433955618175413,2.385,34.403225806451616,12.77,7.13,0.0,0.0,0.0
23,-723.0,-634.3608797986432,0.37433955618175413,2.385,34.403225806451616,12.77,7.13,0.0,0.0,0.0
24,-819.0,-707.3101250358844,0.4041916167664671,2.84,35.96153846153846,14.31,8.87,0.0,0.0,0.0
25,-819.0,-707.3101250358844,0.4041916167664671,2.84,35.96153846153846,14.31,8.87,0.0,0.0,0.0
26,-819.0,-707.3101250358844,0.4041916167664671,2.84,35.96153846153846,14.31,8.87,0.0,0.0,0.0
27,-710.0,-606.2349369586847,0.36799929552659383,2.45,34.69435215946844,13.02,7.83,0.0,0.0,0.0
28,-710.0,-606.2349369586847,0.36799929552659383,2.45,34.69435215946844,13.02,7.83,0.0,0.0,0.0
29,-660.0,-601.0344889291905,0.3579605494892569,2.315,34.3235294117647,12.7,7.28,0.0,0.0,0.0
30,-660.0,-601.0344889291905,0.3579605494892569,2.315,34.3235294117647,12.7,7.28,0.0,0.0,0.0
31,-660.0,-601.0344889291905,0.3579605494892569,2.315,34.3235294117647,12.7,7.28,0.0,0.0,0.0
32,-776.0,-705.9072476222926,0.38015146178231773,2.645,36.62751677852349,14.94,9.01,0.0,0.0,0.0
33,-776.0,-705.9072476222926,0.38015146178231773,2.645,36.62751677852349,14.94,9.01,0.0,0.0,0.0
34,-649.0,-588.5387838586337,0.34871433603381474,2.35,34.89041095890411,13.01,7.96,0.0,0.0,0.0
35,-649.0,-588.5387838586337,0.34871433603381474,2.35,34.89041095890411,13.01,7.96,0.0,0.0,0.0
36,-649.0,-588.5387838586337,0.34871433603381474,2.35,34.89041095890411,13.01,7.96,0.0,0.0,0.0
37,-663.0,-601.5727230151093,0.34897851356111304,2.34,35.550173010380625,13.67,8.2,0.0,0.0,0.0
38,-663.0,-601.5727230151093,0.34897851356111304,2.34,35.550173010380625,13.67,8.2,0.0,0.0,0.0
39,-663.0,-601.5727230151093,0.34897851356111304,2.34,35.550173010380625,13.67,8.2,0.0,0.0,0.0
40,-653.0,-584.8029151908028,0.35479041916167664,2.185,34.07073954983923,12.37,7.06,0.0,0.0,0.0
41,-653.0,-584.8029151908028,0.35479041916167664,2.185,34.07073954983923,12.37,7.06,0.0,0.0,0.0
42,-653.0,-584.8029151908028,0.35479041916167664,2.185,34.07073954983923,12.37,7.06,0.0,0.0,0.0
43,-844.0,-744.1856543813279,0.41106023247622403,2.965,36.93015873015873,15.26,9.32,0.0,0.0,0.0
44,-844.0,-744.1856543813279,0.41106023247622403,2.965,36.93015873015873,15.26,9.32,0.0,0.0,0.0
45,-844.0,-744.1856543813279,0.41106023247622403,2.965,36.93015873015873,15.26,9.32,0.0,0.0,0.0
46,-655.0,-604.4817790288334,0.3582247270165551,2.3,34.46601941747573,12.72,7.5,0.0,0.0,0.0
47,-655.0,-604.4817790288334,0.3582247270165551,2.3,34.46601941747573,12.72,7.5,0.0,0.0,0.0
48,-665.0,-624.6371140205298,0.36007396970764355,2.36,34.64193548387097,12.9,7.68,0.0,0.0,0.0
49,-665.0,-624.6371140205298,0.36007396970764355,2.36,34.64193548387097,12.9,7.68,0.0,0.0,0.0
50,-665.0,-624.6371140205298,0.36007396970764355,2.36,34.64193548387097,12.9,7.68,0.0,0.0,0.0
51,-608.0,-537.5404278759771,0.3331278619232124,2.16,34.19649122807017,12.56,7.38,0.0,0.0,0.0
52,-608.0,-537.5404278759771,0.3331278619232124,2.16,34.19649122807017,12.56,7.38,0.0,0.0,0.0
53,-608.0,-537.5404278759771,0.3331278619232124,2.16,34.19649122807017,12.56,7.38,0.0,0.0,0.0
54,-657.0,-596.5122873792462,0.35584712927087,2.17,34.46254071661238,12.71,7.26,0.0,0.0,0.0
55,-657.0,-596.5122873792462,0.35584712927087,2.17,34.46254071661238,12.71,7.26,0.0,0.0,0.0
56,-657.0,-596.5122873792462,0.35584712927087,2.17,34.46254071661238,12.71,7.26,0.0,0.0,0.0
57,-701.0,-663.5914894105586,0.3648291651990137,2.54,35.725752508361204,14.2,8.65,0.0,0.0,0.0
58,-701.0,-663.5914894105586,0.3648291651990137,2.54,35.725752508361204,14.2,8.65,0.0,0.0,0.0
59,-701.0,-663.5914894105586,0.3648291651990137,2.54,35.725752508361204,14.2,8.65,0.0,0.0,0.0
60,-673.0,-583.9355301720464,0.35214864388869316,2.36,35.1280276816609,13.48,7.88,0.0,0.0,0.0
61,-673.0,-583.9355301720464,0.35214864388869316,2.36,35.1280276816609,13.48,7.88,0.0,0.0,0.0
62,-767.0,-710.5811104460705,0.4007573089115886,2.8,35.353474320241695,13.71,8.44,0.0,0.0,0.0
63,-767.0,-710.5811104460705,0.4007573089115886,2.8,35.353474320241695,13.71,8.44,0.0,0.0,0.0
64,-767.0,-710.5811104460705,0.4007573089115886,2.8,35.353474320241695,13.71,8.44,0.0,0.0,0.0
65,-667.0,-609.637799412416,0.3632441000352236,2.405,34.72312703583062,12.92,7.76,0.0,0.0,0.0
66,-667.0,-609.637799412416,0.3632441000352236,2.405,34.72312703583062,12.92,7.76,0.0,0.0,0.0
67,-667.0,-609.637799412416,0.3632441000352236,2.405,34.72312703583062,12.92,7.76,0.0,0.0,0.0
68,-679.0,-612.1744784700384,0.3592814371257485,2.465,34.730897009966775,13.24,8.11,0.0,0.0,0.0
69,-679.0,-612.1744784700384,0.3592814371257485,2.465,34.730897009966775,13.24,8.11,0.0,0.0,0.0
70,-679.0,-612.1744784700384,0.3592814371257485,2.465,34.730897009966775,13.24,8.11,0.0,0.0,0.0
