step,option,action,obs,termination_prob,should_terminate,greedy_option,cumulative_reward,average_cumulative_reward,waiting_time,speed,lane_density,queue_length
5.0,0,1,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15850651, 0.10567101, 0.052835505, 0.10567101, 0.052835505, 0.21134202, 0.21134202, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-17.0,-0.8500000000000001,0.0,11.549178102193483,0.8982035928143712,0
10.0,0,1,"1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.21134202, 0.26417753, 0.21134202, 0.10567101, 0.052835505, 0.36984855, 0.36984855, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-47.0,-3.1575,0.0,10.799220249734594,1.585065163790067,0
15.0,0,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.052835505, 0.36984855, 0.36984855, 0.36984855, 0.10567101, 0.052835505, 0.47551954, 0.47551954, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052835505",,True,0,-89.0,-7.449625,0.044444444444444446,8.230618889066987,2.2719267347657626,1
20.0,0,3,"0.0, 0.0, 1.0, 0.0, 1.0, 0.10567101, 0.42268404, 0.42268404, 0.52835506, 0.10567101, 0.15850651, 0.42268404, 0.5811906, 0.0, 0.15850651, 0.0, 0.052835505, 0.052835505, 0.052835505, 0.0, 0.21134202, 0.0, 0.15850651, 0.0, 0.052835505, 0.052835505, 0.052835505, 0.0, 0.15850651",,True,0,-134.0,-13.77714375,0.6440677966101694,7.168558625213517,2.7474462839027827,10
25.0,0,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.15850651, 0.42268404, 0.47551954, 0.63402605, 0.15850651, 0.15850651, 0.52835506, 0.63402605, 0.0, 0.21134202, 0.0, 0.052835505, 0.052835505, 0.052835505, 0.052835505, 0.21134202, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.0",,True,0,-187.0,-22.4382865625,0.927536231884058,5.676438533299663,3.170130327580134,12
30.0,0,3,"0.0, 0.0, 0.0, 1.0, 1.0, 0.15850651, 0.42268404, 0.63402605, 0.5811906, 0.31701303, 0.21134202, 0.6868616, 0.5811906, 0.052835505, 0.36984855, 0.21134202, 0.0, 0.10567101, 0.052835505, 0.21134202, 0.052835505, 0.052835505, 0.15850651, 0.21134202, -0.052835505, 0.052835505, 0.0, 0.15850651, -0.15850651",,True,0,-244.0,-33.516372234375,1.4875,4.9544303367500175,3.592814371257485,20
35.0,0,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.15850651, 0.42268404, 0.6868616, 0.7396971, 0.31701303, 0.21134202, 0.7396971, 0.6868616, 0.15850651, 0.42268404, 0.15850651, 0.0, 0.10567101, 0.15850651, 0.15850651, 0.10567101, 0.10567101, 0.052835505, -0.052835505, 0.0, 0.0, 0.10567101, -0.052835505, 0.052835505",,True,0,-310.0,-47.340553622656245,2.369047619047619,3.3807326008894996,3.962662909475167,24
40.0,0,1,"0.0, 0.0, 1.0, 0.0, 1.0, 0.15850651, 0.47551954, 0.6868616, 0.7396971, 0.47551954, 0.21134202, 0.7396971, 0.79253256, 0.15850651, 0.42268404, 0.10567101, 0.21134202, 0.21134202, 0.15850651, 0.052835505, 0.26417753, 0.0, 0.0, -0.052835505, 0.21134202, 0.10567101, 0.0, -0.10567101, 0.15850651",,True,0,-383.0,-64.12352594152344,3.3333333333333335,3.152285026756742,4.279675942233181,30
45.0,0,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.21134202, 0.47551954, 0.79253256, 0.7396971, 0.47551954, 0.26417753, 0.7396971, 0.79253256, 0.15850651, 0.42268404, 0.15850651, 0.15850651, 0.31701303, 0.21134202, 0.052835505, 0.21134202, 0.0, 0.0, 0.052835505, -0.052835505, 0.10567101, 0.052835505, 0.0, -0.052835505",,True,0,-462.0,-84.01734964444726,4.193548387096774,2.555454492457013,4.491017964071856,32
50.0,0,1,"0.0, 0.0, 0.0, 1.0, 1.0, 0.31701303, 0.52835506, 0.8453681, 0.7396971, 0.47551954, 0.36984855, 0.79253256, 0.79253256, 0.15850651, 0.47551954, 0.21134202, 0.0, 0.42268404, 0.21134202, 0.26417753, 0.10567101, 0.0, 0.052835505, 0.052835505, -0.15850651, 0.10567101, 0.0, 0.21134202, -0.10567101",,True,0,-546.0,-107.1164821622249,5.00990099009901,3.0902584109393914,4.860866502289539,35
55.0,0,1,"0.0, 1.0, 0.0, 0.0, 0.0, 0.31701303, 0.52835506, 0.8453681, 0.79253256, 0.47551954, 0.31701303, 0.79253256, 0.7396971, 0.15850651, 0.31701303, 0.42268404, 0.15850651, 0.47551954, 0.10567101, 0.36984855, 0.10567101, 0.0, -0.15850651, 0.21134202, 0.15850651, 0.052835505, -0.10567101, 0.10567101, 0.0",,True,0,-630.0,-133.26065805411366,4.94,2.467761369447328,4.80803099682987,40
60.0,0,2,"0.0, 1.0, 0.0, 0.0, 1.0, 0.36984855, 0.42268404, 0.9510391, 0.8453681, 0.47551954, 0.26417753, 0.8982036, 0.79253256, 0.31701303, 0.15850651, 0.5811906, 0.31701303, 0.47551954, 0.0, 0.52835506, 0.21134202, 0.15850651, -0.15850651, 0.15850651, 0.15850651, 0.0, -0.10567101, 0.15850651, 0.10567101",,True,0,-717.0,-162.44762515140798,5.105769230769231,2.233101860232028,5.019373018668546,49
65.0,0,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.36984855, 0.36984855, 0.8982036, 0.8453681, 0.47551954, 0.36984855, 0.8982036, 0.79253256, 0.31701303, 0.0, 0.5811906, 0.42268404, 0.47551954, 0.052835505, 0.5811906, 0.36984855, 0.0, -0.15850651, 0.0, 0.10567101, 0.0, 0.052835505, 0.052835505, 0.15850651",,True,0,-804.0,-194.52524389383757,6.298076923076923,2.1759876156511506,5.019373018668546,53
70.0,0,2,"0.0, 0.0, 1.0, 0.0, 1.0, 0.42268404, 0.42268404, 0.8453681, 0.8453681, 0.5811906, 0.42268404, 0.8453681, 0.8453681, 0.36984855, 0.15850651, 0.47551954, 0.63402605, 0.47551954, 0.21134202, 0.47551954, 0.52835506, 0.052835505, 0.15850651, -0.10567101, 0.21134202, 0.0, 0.15850651, -0.10567101, 0.15850651",,True,0,-894.0,-229.4989816991457,7.388888888888889,2.3251568707395394,5.230715040507221,63
75.0,0,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.47551954, 0.47551954, 0.79253256, 0.8982036, 0.63402605, 0.42268404, 0.79253256, 0.8982036, 0.36984855, 0.31701303, 0.36984855, 0.63402605, 0.52835506, 0.31701303, 0.36984855, 0.52835506, 0.0, 0.15850651, -0.10567101, 0.0, 0.052835505, 0.10567101, -0.10567101, 0.0",,True,0,-988.0,-267.4240326141884,8.169642857142858,2.256319464035275,5.389221556886229,65
80.0,0,0,"0.0, 0.0, 0.0, 1.0, 1.0, 0.47551954, 0.52835506, 0.79253256, 0.8453681, 0.63402605, 0.42268404, 0.79253256, 0.8453681, 0.42268404, 0.42268404, 0.31701303, 0.52835506, 0.63402605, 0.42268404, 0.26417753, 0.47551954, 0.052835505, 0.10567101, -0.052835505, -0.10567101, 0.10567101, 0.10567101, -0.10567101, -0.052835505",,True,0,-1081.0,-308.10283098347895,8.972477064220184,1.8435522579053722,5.336386051426558,66
85.0,0,0,"1.0, 0.0, 0.0, 0.0, 0.0, 0.42268404, 0.63402605, 0.79253256, 0.79253256, 0.5811906, 0.52835506, 0.79253256, 0.8453681, 0.31701303, 0.47551954, 0.31701303, 0.42268404, 0.47551954, 0.42268404, 0.26417753, 0.36984855, -0.10567101, 0.052835505, 0.0, -0.10567101, -0.15850651, 0.0, 0.0, -0.10567101",,True,0,-1175.0,-351.447689434305,7.18018018018018,2.3206443941362007,5.389221556886227,58
