step,option,action,obs,termination_prob,should_terminate,greedy_option,cumulative_reward,average_cumulative_reward,waiting_time,speed,lane_density,queue_length
5.0,0,1,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,0.0,0.0,0.0,0.0,0.0,0
10.0,0,1,"1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-1.0,-0.05,0.0,16.55073,0.0528355054596689,0
15.0,0,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.10567101, 0.0, 0.0, 0.052835505, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-5.0,-0.2975,0.0,12.17177135582204,0.2113420218386756,0
20.0,0,1,"0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.052835505, 0.0, 0.10567101, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-8.0,-0.682625,0.0,12.790446723527477,0.2113420218386756,0
25.0,0,1,"0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.052835505, 0.10567101, 0.0, 0.052835505, 0.10567101, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.0",,True,0,-15.0,-1.39849375,0.1111111111111111,11.916919881116536,0.4226840436773512,1
30.0,0,1,"0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.052835505, 0.10567101, 0.0, 0.052835505, 0.10567101, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-21.0,-2.3785690625,0.75,9.499570476755034,0.36984853821768227,1
35.0,0,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21134202, 0.0, 0.052835505, 0.052835505, 0.052835505, 0.0, 0.0, 0.0, 0.10567101, 0.0, 0.052835505, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.10567101, 0.0, 0.052835505, -0.052835505, 0.052835505",,True,0,-26.0,-3.559640609375,1.0,6.231722458553127,0.36984853821768227,4
40.0,0,1,"0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.21134202, 0.0, 0.052835505, 0.052835505, 0.052835505, 0.0, 0.0, 0.0, 0.10567101, 0.0, 0.052835505, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-30.0,-4.88165857890625,3.0,7.467155258836721,0.36984853821768227,4
45.0,0,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.21134202, 0.0, 0.052835505, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, -0.10567101, 0.0, 0.0, 0.0, -0.052835505",,True,0,-34.0,-6.337575649960938,1.1,7.426585307372534,0.3170130327580134,1
50.0,0,1,"0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.10567101, 0.052835505, 0.052835505, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-36.0,-7.820696867462891,1.7777777777777777,8.920678050836441,0.2641775272983445,1
55.0,0,1,"0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10567101, 0.052835505, 0.0, 0.10567101, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.0, -0.052835505, 0.052835505, 0.0",,True,0,-37.0,-9.279662024089745,0.6,7.550120983643507,0.2641775272983445,2
60.0,0,3,"0.0, 1.0, 0.0, 0.0, 1.0, 0.052835505, 0.0, 0.052835505, 0.10567101, 0.052835505, 0.0, 0.15850651, 0.0, 0.0, 0.0, 0.0, 0.10567101, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0",,True,0,-41.0,-10.865678922885259,1.75,8.008011407165453,0.4226840436773512,3
65.0,0,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.052835505, 0.0, 0.052835505, 0.10567101, 0.052835505, 0.0, 0.10567101, 0.0, 0.0, 0.0, 0.0, 0.10567101, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.0, -0.052835505, 0.0",,True,0,-47.0,-12.672394976740994,2.888888888888889,6.91655440832422,0.36984853821768227,3
70.0,0,1,"0.0, 0.0, 1.0, 0.0, 1.0, 0.052835505, 0.0, 0.052835505, 0.15850651, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10567101, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-51.0,-14.588775227903945,4.555555555555555,6.685925231798135,0.3170130327580134,3
75.0,0,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.10567101, 0.052835505, 0.0, 0.10567101, 0.052835505, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0, -0.10567101, 0.0, 0.0, 0.0, 0.0",,True,0,-53.0,-16.50933646650875,1.6363636363636365,8.127473464152494,0.3170130327580134,2
80.0,0,1,"0.0, 0.0, 0.0, 1.0, 1.0, 0.15850651, 0.052835505, 0.0, 0.0, 0.052835505, 0.052835505, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-53.0,-18.333869643183313,2.3333333333333335,9.301824645983919,0.3170130327580134,2
85.0,0,0,"1.0, 0.0, 0.0, 0.0, 0.0, 0.15850651, 0.052835505, 0.0, 0.052835505, 0.0, 0.052835505, 0.052835505, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.052835505, 0.0, 0.0, 0.0, -0.052835505, 0.0, 0.0, 0.0",,True,0,-57.0,-20.267176161024146,0.0,9.494564247266043,0.4226840436773512,0
90.0,0,1,"1.0, 0.0, 0.0, 0.0, 1.0, 0.052835505, 0.052835505, 0.052835505, 0.052835505, 0.0, 0.10567101, 0.10567101, 0.10567101, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-60.0,-22.253817352972938,0.23529411764705882,11.23297327680035,0.528355054596689,1
95.0,0,1,"0.0, 1.0, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.052835505, 0.052835505, 0.0, 0.052835505, 0.10567101, 0.15850651, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052835505, -0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-65.0,-24.39112648532429,0.06666666666666667,9.655486045258774,0.4755195491370201,1
100.0,0,3,"0.0, 1.0, 0.0, 0.0, 1.0, 0.052835505, 0.0, 0.052835505, 0.052835505, 0.0, 0.0, 0.10567101, 0.15850651, 0.052835505, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.052835505, 0.052835505, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.052835505, 0.052835505",,True,0,-70.0,-26.671570161058074,1.5,6.57024276557818,0.4226840436773512,4
105.0,0,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.052835505, 0.0, 0.052835505, 0.0, 0.0, 0.052835505, 0.10567101, 0.10567101, 0.052835505, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.10567101, 0.0, 0.0, 0.0, 0.052835505, -0.052835505, 0.0, 0.0, 0.052835505, -0.052835505",,True,0,-74.0,-29.037991653005168,2.25,5.969463944566762,0.36984853821768227,4
110.0,0,1,"0.0, 0.0, 0.0, 1.0, 1.0, 0.10567101, 0.0, 0.052835505, 0.052835505, 0.0, 0.052835505, 0.10567101, 0.0, 0.052835505, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.10567101, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-77.0,-31.43609207035491,3.9166666666666665,9.028178227137674,0.36984853821768227,4
