episode,cumulative_reward,average_cumulative_reward,mean_lane_density,mean_queue_length,avg_travel_time,avg_time_loss,avg_waiting_time,collisions,emergency_stops,emergency_braking
0,-5600.0,-5566.14505144358,0.9321030061630725,3.438888888888889,42.89094547273637,20.0,6.95,0.0,0.0,0.0
1,-5629.0,-5591.098306236941,0.9359644502694241,3.411111111111111,42.98848272408613,20.11,7.08,0.0,0.0,0.0
2,-5622.0,-5587.382011690147,0.9524635490288609,3.4569444444444444,42.77154308617234,19.97,6.83,0.0,0.0,0.0
3,-6137.0,-6094.556859315776,1.0065722994470567,3.8180555555555555,44.47223611805903,21.73,7.81,0.0,0.0,0.0
4,-5347.0,-5323.082561223518,0.8892496101078075,3.1194444444444445,41.798899449724864,19.03,6.2,0.0,0.0,0.0
5,-5290.0,-5251.223775294495,0.880712825295325,3.1347222222222224,41.796898449224614,18.94,6.06,0.0,0.0,0.0
6,-5655.0,-5630.19819272988,0.9329757932005777,3.561111111111111,42.75537768884442,19.99,7.15,0.0,0.0,0.0
7,-5604.0,-5569.999333808354,0.9274419050141148,3.370833333333333,42.48122183274912,19.68,6.59,0.0,0.0,0.0
8,-5650.0,-5615.678327659907,0.9363220187168879,3.4166666666666665,42.439719859929966,19.76,6.65,0.0,0.0,0.0
9,-5843.0,-5815.296874335164,0.9651269929977949,3.7041666666666666,43.71256885327992,20.83,7.58,0.0,0.0,1.0
10,-5501.0,-5463.657147872541,0.9183706948431579,3.2444444444444445,42.855427713856926,20.08,6.89,0.0,0.0,0.0
11,-5527.0,-5493.476488584954,0.9146861803624559,3.3361111111111112,42.948948948948946,20.17,7.01,0.0,0.0,0.0
12,-5515.0,-5490.659519012989,0.9295064544203171,3.341666666666667,42.83191595797899,20.22,7.19,0.0,0.0,0.0
13,-5522.0,-5485.822532519628,0.8893322069778972,3.2819444444444446,42.04152076038019,19.31,6.48,0.0,0.0,0.0
14,-6123.0,-6091.215813211981,0.9730455889837182,3.8513888888888888,44.18518518518518,21.37,7.78,0.0,0.0,1.0
15,-5212.0,-5171.629529830099,0.8759588750316306,3.0805555555555557,41.53126563281641,18.71,6.09,0.0,0.0,0.0
16,-5360.0,-5320.007898350816,0.8875360831364038,3.1680555555555556,41.84276414621933,19.06,6.22,0.0,0.0,0.0
17,-5189.0,-5160.379733075516,0.889667601274326,3.1013888888888888,41.55027513756878,18.75,6.16,0.0,0.0,0.0
18,-5594.0,-5564.865945902952,0.9326950991253208,3.488888888888889,42.725862931465734,19.77,6.91,0.0,0.0,0.0
19,-5519.0,-5490.153632132895,0.9443400494492447,3.338888888888889,42.73286643321661,20.01,6.89,0.0,0.0,0.0
20,-5447.0,-5411.159730282375,0.9114976651464616,3.25,42.46523261630816,19.75,6.54,0.0,0.0,1.0
21,-5414.0,-5376.630992282515,0.9106204117848758,3.2069444444444444,42.42971485742871,19.63,6.58,0.0,0.0,0.0
22,-5346.0,-5316.692221312475,0.9136730715800131,3.0875,41.87343671835918,19.1,6.16,0.0,0.0,1.0
23,-5385.0,-5348.7738859343635,0.8977054679063526,3.216666666666667,42.01000500250125,19.2,6.32,0.0,0.0,1.0
24,-5263.0,-5233.020140953779,0.8766673241854622,3.1152777777777776,41.594297148574285,18.81,6.04,0.0,0.0,1.0
25,-5676.0,-5647.315714561815,0.9541278063383768,3.577777777777778,42.94747373686843,20.2,7.2,0.0,0.0,1.0
26,-5614.0,-5573.891573185662,0.9340574097399493,3.463888888888889,42.84827240861292,20.01,7.03,0.0,0.0,0.0
27,-5409.0,-5378.975212229771,0.8969838582109361,3.1416666666666666,42.17908954477239,19.43,6.43,0.0,0.0,1.0
28,-5769.0,-5743.281437588302,0.967423100516683,3.5708333333333333,43.44572286143072,20.68,7.25,0.0,0.0,1.0
29,-5278.0,-5241.965818017965,0.9069474624226798,3.1013888888888888,41.95891783567134,19.22,6.25,0.0,0.0,0.0
30,-5663.0,-5631.334413949511,0.9514049531374075,3.4722222222222223,42.85392696348174,20.05,6.95,0.0,0.0,0.0
31,-5713.0,-5684.109104368062,0.9378236360834327,3.390277777777778,43.247247247247245,20.39,6.91,0.0,0.0,0.0
32,-5123.0,-5083.6501068913285,0.8821909689157619,3.048611111111111,41.763645468202306,18.95,6.41,0.0,0.0,0.0
33,-5342.0,-5302.221799948777,0.8854046618932033,3.238888888888889,42.176588294147074,19.31,6.42,0.0,0.0,1.0
34,-5286.0,-5257.460332833333,0.8788328280838322,3.048611111111111,41.86393196598299,19.1,6.27,0.0,0.0,0.0
35,-5257.0,-5220.061418235998,0.8861665027469766,3.1194444444444445,41.833833833833836,19.1,6.22,0.0,0.0,0.0
36,-5486.0,-5459.9201647650925,0.9175667770439584,3.2875,42.29514757378689,19.47,6.5,0.0,0.0,0.0
37,-5444.0,-5410.416876079935,0.901939413763849,3.2597222222222224,42.068671679198,19.26,6.46,0.0,0.0,0.0
38,-5764.0,-5728.913809388261,0.9567359255050767,3.6069444444444443,43.18409204602301,20.43,7.2,0.0,0.0,0.0
39,-5273.0,-5227.403038665469,0.8825560496591403,3.2375,41.80561122244489,19.03,6.5,0.0,0.0,0.0
40,-5635.0,-5606.849571862092,0.9352361861294931,3.3944444444444444,42.59329664832416,19.83,6.77,0.0,0.0,0.0
