step,option,action,obs,termination_prob,should_terminate,greedy_option,cumulative_reward,average_cumulative_reward,waiting_time,speed,lane_density,queue_length
25205.0,0,0,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,0.0,0.0,0.0,0.0,0.0,0
25210.0,0,0,"1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11890191, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-1.0,-0.05,0.0,5.868264404323417,0.11890190592760973,0
25215.0,0,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11890191, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-2.0,-0.14750000000000002,0.0,9.451775015420836,0.11890190592760973,0
25220.0,0,3,"0.0, 0.0, 1.0, 0.0, 1.0, 0.019360533, 0.0, 0.0, 0.0, 0.11890191, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-3.0,-0.290125,0.0,7.7765145832602744,0.13826243891169424,0
25225.0,0,0,"1.0, 0.0, 0.0, 0.0, 0.0, 0.058081597, 0.0, 0.0, 0.0, 0.0, 0.23780382, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-7.0,-0.6256187500000001,0.0,9.077566184852326,0.29588541080747294,0
25230.0,0,3,"1.0, 0.0, 0.0, 0.0, 1.0, 0.038721066, 0.019360533, 0.0, 0.0, 0.0, 0.23780382, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11890191, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11890191, 0.0, 0.0",,True,0,-12.0,-1.1943378125000002,0.16666666666666666,6.922052480582337,0.29588541080747294,1
25235.0,0,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.058081597, 0.019360533, 0.0, 0.0, 0.0, 0.11890191, 0.0, 0.16393442, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.11890191, 0.0, 0.0",,True,0,-18.0,-2.034620921875,0.0,8.515695273184061,0.360278464093456,0
25240.0,0,3,"0.0, 0.0, 1.0, 0.0, 1.0, 0.058081597, 0.019360533, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16393442, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16393442, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16393442",,True,0,-21.0,-2.9828898757812503,0.25,10.768396998240092,0.24137655816584622,1
25245.0,0,2,"0.0, 0.0, 1.0, 0.0, 1.0, 0.058081597, 0.019360533, 0.14083049, 0.0, 0.0, 0.0, 0.0, 0.32786885, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16393442, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-28.0,-4.233745381992188,0.7777777777777778,10.015652177430917,0.5461414700534263,1
25250.0,0,0,"1.0, 0.0, 0.0, 0.0, 0.0, 0.058081597, 0.019360533, 0.28166097, 0.0, 0.0, 0.0, 0.0, 0.16393442, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.16393442",,True,0,-37.0,-5.872058112892578,0.0,9.207221186191793,0.52303752948199,0
25255.0,0,0,"1.0, 0.0, 0.0, 0.0, 1.0, 0.058081597, 0.019360533, 0.21124573, 0.07041524, 0.0, 0.0, 0.0, 0.0, 0.019360533, 0.019360533, 0.07041524, 0.0, 0.0, 0.0, 0.0, 0.0, 0.019360533, 0.019360533, 0.07041524, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-42.0,-7.678455207247948,0.25,6.821916601768244,0.35910310325248174,3
25260.0,0,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.038721066, 0.0, 0.28166097, 0.07041524, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07041524, 0.0, 0.0, 0.0, 0.0, 0.0, -0.019360533, -0.019360533, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-46.0,-9.59453244688555,0.0,8.356765627985395,0.3907972801133487,1
25265.0,0,0,"0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.42249146, 0.07041524, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14083049, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07041524, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-49.0,-11.56480582454127,0.2727272727272727,7.605331254784262,0.4929066998032515,2
25270.0,0,0,"1.0, 0.0, 0.0, 0.0, 0.0, 0.019360533, 0.0, 0.3520762, 0.07041524, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.14083049, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-56.0,-13.786565533314207,0.0,5.486033124359628,0.4418519899583001,0
25275.0,0,0,"1.0, 0.0, 0.0, 0.0, 1.0, 0.038721066, 0.0, 0.28166097, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-57.0,-15.947237256648496,0.0,9.71692360639375,0.32038203728431275,0
25280.0,0,0,"1.0, 0.0, 0.0, 0.0, 1.0, 0.07744213, 0.0, 0.28166097, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07041524, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07041524, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-61.0,-18.199875393816072,0.0,10.962052785222937,0.35910310325248174,1
