episode,cumulative_reward,average_cumulative_reward,mean_lane_density,mean_queue_length,avg_travel_time,avg_time_loss,avg_waiting_time,collisions,emergency_stops,emergency_braking
0,-24671.0,-24162.899074164365,2.264893541128061,26.06111111111111,90.63316326530612,67.66,47.94,0.0,0.0,0.0
1,-25277.0,-24793.495141942374,2.2868979087767003,26.780555555555555,91.86092715231788,68.84,48.89,0.0,0.0,0.0
2,-25355.0,-24850.66814169163,2.275990867263426,26.830555555555556,92.67584097859327,69.59,49.31,0.0,0.0,0.0
3,-26071.0,-25546.673062582955,2.3012580027301293,27.541666666666668,94.09312977099236,71.13,50.56,0.0,0.0,0.0
4,-25859.0,-25333.35400737189,2.290617497006611,27.3,93.46941896024465,70.48,50.1,0.0,0.0,0.0
5,-23844.0,-23341.60417327885,2.2244383987723073,25.393055555555556,88.52089704383282,65.6,46.7,0.0,0.0,0.0
6,-25077.0,-24588.674815343664,2.2606257941669785,26.554166666666667,91.77330616403464,68.88,49.08,0.0,0.0,0.0
7,-24837.0,-24317.3297061071,2.26827928266971,26.258333333333333,91.19520897043833,68.19,48.3,0.0,0.0,0.0
8,-25367.0,-24871.610665373802,2.277959513880753,26.8,92.31262729124236,69.37,49.18,0.0,0.0,0.0
9,-25415.0,-24866.58837927543,2.3067587935757876,26.9875,92.57317695053544,69.71,49.65,0.0,0.0,0.0
10,-25103.0,-24590.692999227376,2.3045552297032055,26.71388888888889,91.96588594704684,69.07,49.17,0.0,0.0,0.0
11,-24722.0,-24223.703499348238,2.2718236051791028,26.39027777777778,91.10901681100357,68.05,48.49,0.0,0.0,0.0
12,-25240.0,-24730.887483418323,2.286288912843542,26.794444444444444,92.05249745158002,69.14,49.12,0.0,0.0,0.0
13,-24542.0,-24044.182786801935,2.267540976238768,26.1375,90.31208567057624,67.42,47.94,0.0,0.0,0.0
14,-24852.0,-24337.175266150585,2.263122247527377,26.22361111111111,90.97502548419979,67.96,48.01,0.0,0.0,0.0
15,-26149.0,-25627.83925475328,2.3226193211941797,27.893055555555556,94.27508914926133,71.37,51.01,0.0,0.0,0.0
16,-25724.0,-25192.002400177127,2.281625583089487,27.156944444444445,92.61538461538461,69.61,49.39,0.0,0.0,0.0
17,-26112.0,-25592.777336083724,2.347243236905525,27.808333333333334,94.2645259938838,71.33,51.05,0.0,0.0,0.0
18,-24779.0,-24283.070189278635,2.3208644425498264,26.386111111111113,91.0285277636271,68.06,48.45,0.0,0.0,0.0
19,-25970.0,-25432.148602033278,2.307572457193534,27.459722222222222,93.95109526235355,70.94,50.28,0.0,0.0,0.0
20,-25822.0,-25293.272926421232,2.3246728585483836,27.238888888888887,93.79153924566769,70.9,50.16,0.0,0.0,0.0
21,-25098.0,-24569.271092246872,2.3073873921611727,26.565277777777776,91.72412034676185,68.81,48.9,0.0,0.0,0.0
22,-24576.0,-24082.41500211592,2.251713761261251,26.079166666666666,90.5364238410596,67.6,47.96,0.0,0.0,0.0
23,-24892.0,-24374.76386800628,2.267027930881433,26.170833333333334,90.91645440652063,67.94,47.78,0.0,0.0,0.0
24,-25625.0,-25130.803525662865,2.3100248426769303,27.258333333333333,93.14322120285424,70.16,50.09,0.0,0.0,0.0
25,-24876.0,-24367.780925239753,2.258080807525518,26.384722222222223,90.9016811003566,67.97,48.39,0.0,0.0,0.0
26,-24913.0,-24391.140446726567,2.270473131365394,26.495833333333334,91.16250636780438,68.12,48.4,0.0,0.0,0.0
27,-24833.0,-24321.632546455992,2.295846547307545,26.190277777777776,91.04332313965341,68.24,48.21,0.0,0.0,0.0
28,-25494.0,-24964.934200673804,2.326396200511807,27.125,92.8969913309536,69.89,49.88,0.0,0.0,0.0
29,-24861.0,-24354.269595917987,2.266044602408842,26.375,91.10596026490066,68.25,48.35,0.0,0.0,0.0
30,-25163.0,-24669.691396708593,2.3024851132473807,26.705555555555556,92.0667345899134,69.03,49.09,0.0,0.0,0.0
31,-24490.0,-23967.99229249759,2.248106717243946,25.815277777777776,90.13914373088684,67.21,47.51,0.0,0.0,1.0
32,-25002.0,-24500.97561737572,2.2772272325687397,26.458333333333332,91.95767465578787,68.97,48.81,0.0,0.0,0.0
33,-24774.0,-24279.735142386387,2.2891999801994722,26.180555555555557,90.77268093781855,67.92,48.12,0.0,0.0,0.0
34,-24262.0,-23767.78366052425,2.237476907824072,25.62361111111111,89.770366598778,66.86,47.27,0.0,0.0,0.0
35,-26099.0,-25580.535851188302,2.2956062379772315,27.698611111111113,94.53261977573904,71.58,51.06,0.0,0.0,0.0
36,-25873.0,-25345.49048808726,2.295942155328019,27.334722222222222,93.4877800407332,70.53,49.94,0.0,0.0,0.0
37,-25328.0,-24812.50275182218,2.29758848288476,26.884722222222223,92.22120285423038,69.32,49.29,0.0,0.0,0.0
38,-25107.0,-24609.162207729813,2.2705258987968837,26.43888888888889,92.02750891492613,69.09,48.71,0.0,0.0,0.0
39,-25630.0,-25102.759379524647,2.3374223371163265,27.238888888888887,92.9332654100866,70.01,49.91,0.0,0.0,0.0
40,-26021.0,-25487.870019437676,2.327744720296063,27.731944444444444,93.97301425661914,71.0,50.72,0.0,0.0,0.0
41,-24895.0,-24390.391327873014,2.2892006296469516,26.252777777777776,91.28950050968399,68.3,48.09,0.0,0.0,0.0
42,-24919.0,-24419.143844795908,2.278155576705364,26.329166666666666,91.4602851323829,68.47,48.36,0.0,0.0,0.0
43,-26188.0,-25661.48747283942,2.3310663831273803,27.68611111111111,94.73458991339785,71.79,51.0,0.0,0.0,0.0
44,-24555.0,-24032.10520604138,2.251516515364882,26.075,89.85721570627231,66.96,47.53,0.0,0.0,0.0
45,-24717.0,-24225.20799311981,2.274492259698946,26.193055555555556,90.81243628950051,67.88,47.99,0.0,0.0,0.0
46,-25433.0,-24920.487634240304,2.320381991123644,26.991666666666667,92.81924643584522,69.84,49.59,0.0,0.0,0.0
47,-24804.0,-24300.54709125698,2.308364648304019,26.344444444444445,91.38257768721346,68.4,48.66,0.0,0.0,0.0
48,-25302.0,-24814.675366287545,2.2829754636854305,26.886111111111113,91.66734589913398,68.75,48.86,0.0,0.0,0.0
49,-25481.0,-24957.387544271227,2.322070478412552,26.85,92.45616717635066,69.58,49.28,0.0,0.0,0.0
50,-26292.0,-25763.81082651547,2.3137113623928047,27.919444444444444,95.12633723892002,72.11,51.37,0.0,0.0,0.0
51,-24404.0,-23899.585779491827,2.252555227197801,25.98472222222222,90.34931157572667,67.35,47.9,0.0,0.0,0.0
52,-24537.0,-24033.881782883214,2.2880592583049326,26.106944444444444,90.45338767193071,67.59,48.0,0.0,0.0,0.0
53,-25093.0,-24567.05004912988,2.2677159240609965,26.434722222222224,91.7387983706721,68.88,48.71,0.0,0.0,0.0
54,-25009.0,-24501.146064984157,2.3062299646422115,26.593055555555555,91.20529801324503,68.29,48.5,0.0,0.0,0.0
55,-25533.0,-25024.542337327683,2.328748761798217,26.93888888888889,92.92002037697402,70.0,49.66,0.0,0.0,0.0
56,-24944.0,-24432.124459771672,2.241978285385857,26.506944444444443,90.82967873533912,67.89,48.11,0.0,0.0,0.0
57,-25629.0,-25137.041986442775,2.299584388450424,27.197222222222223,93.35845213849286,70.43,49.97,0.0,0.0,0.0
58,-24586.0,-24079.731589129755,2.2458329908665258,26.120833333333334,90.34574196838348,67.38,47.88,0.0,0.0,0.0
59,-25519.0,-24989.590878893705,2.299454087970699,26.95138888888889,93.14002036659878,70.15,49.87,0.0,0.0,0.0
60,-25433.0,-24941.584658277945,2.2994069756637807,26.884722222222223,92.86340468909276,69.83,49.35,0.0,0.0,0.0
61,-25445.0,-24956.335832865414,2.33624342096553,27.069444444444443,92.49719816607234,69.53,49.69,0.0,0.0,0.0
62,-25305.0,-24796.594800799016,2.327887277728623,26.6875,92.45644421803362,69.43,49.07,0.0,0.0,0.0
63,-24646.0,-24145.70962020516,2.269231829986571,26.00138888888889,90.5428134556575,67.62,47.91,0.0,0.0,0.0
64,-25015.0,-24504.579712072045,2.3027574411057876,26.51527777777778,91.48929663608563,68.53,48.68,0.0,0.0,0.0
65,-24763.0,-24266.770115410523,2.260497256600042,26.226388888888888,90.98522669383597,68.07,48.34,0.0,0.0,0.0
66,-25602.0,-25085.381409627695,2.3030336672465967,26.997222222222224,93.39438775510204,70.45,49.76,0.0,0.0,0.0
67,-24704.0,-24209.775503133013,2.3045895839482564,26.179166666666667,91.15035677879715,68.16,48.42,0.0,0.0,0.0
68,-24858.0,-24333.61864013801,2.2842296455775064,26.259722222222223,91.7645259938838,68.76,48.73,0.0,0.0,0.0
69,-25808.0,-25281.485110740523,2.316146651160874,27.194444444444443,94.34217236104028,71.47,50.77,0.0,0.0,0.0
70,-24503.0,-24006.492463848448,2.2603352588106316,26.045833333333334,90.68772287315333,67.68,48.08,0.0,0.0,0.0
71,-25436.0,-24924.049077580326,2.340867454938373,27.01527777777778,92.55759429153925,69.59,49.49,0.0,0.0,0.0
72,-25112.0,-24614.399571073925,2.2770896429672023,26.490277777777777,91.99185750636133,69.02,48.7,0.0,0.0,0.0
73,-25012.0,-24513.45675293586,2.309457507025492,26.368055555555557,91.7317695053544,68.85,48.75,0.0,0.0,0.0
74,-25573.0,-25030.325420831396,2.2703840740202725,27.225,93.04283528811831,70.01,49.96,0.0,0.0,0.0
75,-25967.0,-25439.73331708567,2.318065538234538,27.67361111111111,94.065749235474,71.06,50.9,0.0,0.0,0.0
76,-24850.0,-24342.960515298473,2.2840834370522654,26.398611111111112,91.05504587155963,68.05,48.33,0.0,0.0,0.0
77,-25632.0,-25111.533335322638,2.2774530602179213,27.22361111111111,92.94144602851324,69.94,49.92,0.0,0.0,0.0
78,-25135.0,-24635.44674247583,2.2924154255357205,26.620833333333334,91.90830361691289,68.94,48.86,0.0,0.0,0.0
79,-24331.0,-23831.82461207033,2.2404493011662963,25.836111111111112,89.3954081632653,66.51,47.2,0.0,0.0,0.0
80,-24840.0,-24336.549601698865,2.2546103266695643,26.206944444444446,90.51402345741968,67.54,47.63,0.0,0.0,0.0
81,-25054.0,-24544.536539628025,2.2812135170591,26.522222222222222,91.57382892057026,68.72,48.82,0.0,0.0,0.0
82,-26118.0,-25597.57552973731,2.3300612298441172,27.72361111111111,94.46816097809476,71.36,50.88,0.0,0.0,0.0
83,-26018.0,-25474.139691415385,2.338222933661805,27.636111111111113,94.05501782985226,71.22,50.64,0.0,0.0,0.0
84,-24255.0,-23748.234903930068,2.221089746235541,25.745833333333334,89.16318204997451,66.33,46.93,0.0,0.0,0.0
85,-25683.0,-25137.579101046183,2.3022301031973353,27.155555555555555,93.48087710351861,70.53,50.14,0.0,0.0,0.0
86,-23814.0,-23311.91398308055,2.2592887642468673,25.15138888888889,88.5158002038736,65.56,46.14,0.0,0.0,0.0
87,-25040.0,-24523.312728445384,2.297949519943027,26.440277777777776,91.78338430173292,68.83,48.72,0.0,0.0,0.0
88,-25029.0,-24536.410166429858,2.2636763362439756,26.631944444444443,91.90885947046843,68.96,49.13,0.0,0.0,0.0
89,-25443.0,-24928.975724799224,2.277472335592823,27.118055555555557,92.89908256880734,69.87,49.88,0.0,0.0,0.0
90,-25758.0,-25264.924057817865,2.296438751959667,27.269444444444446,93.43686354378819,70.42,50.1,0.0,0.0,0.0
91,-26032.0,-25504.46899346607,2.3095341511349816,27.5,94.37697401935813,71.45,50.73,0.0,0.0,0.0
92,-24718.0,-24205.109133696194,2.244414989344709,26.216666666666665,90.74630667345899,67.82,48.08,0.0,0.0,0.0
93,-24334.0,-23841.925834758244,2.264950292037196,25.780555555555555,89.7217125382263,66.71,47.29,0.0,0.0,0.0
94,-25369.0,-24847.60838912782,2.2869836354410755,26.956944444444446,92.32297503820682,69.34,49.35,0.0,0.0,0.0
95,-25426.0,-24919.58936127592,2.3026747168884794,27.0375,93.2013251783894,70.26,49.99,0.0,0.0,0.0
96,-24989.0,-24467.958152872758,2.257674528984088,26.40277777777778,90.90825688073394,67.96,48.1,0.0,0.0,0.0
97,-25561.0,-25048.95357619961,2.28117790001217,27.191666666666666,92.74885379521142,69.84,49.77,0.0,0.0,0.0
98,-25346.0,-24855.68718653821,2.258362581497868,26.529166666666665,92.22046843177189,69.28,48.73,0.0,0.0,0.0
99,-25116.0,-24600.627115816373,2.2818581860049014,26.71527777777778,91.99388690779419,69.1,49.08,0.0,0.0,0.0
