step,option,action,obs,termination_prob,should_terminate,greedy_option,cumulative_reward,average_cumulative_reward,waiting_time,speed,lane_density,queue_length
25205.0,0,0,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,0.0,0.0,0.0,0.0,0.0,0
25210.0,0,0,"1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11890191, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-1.0,-0.05,0.0,5.749918775015977,0.11890190592760973,0
25215.0,0,0,"1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.23780382, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-3.0,-0.1975,0.0,6.526087647962739,0.23780381185521945,0
25220.0,0,0,"1.0, 0.0, 0.0, 0.0, 1.0, 0.019360533, 0.0, 0.0, 0.0, 0.0, 0.35670573, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11890191, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11890191, 0.0, 0.0",,True,0,-7.0,-0.537625,1.0,4.114697996761491,0.3760662507669137,1
25225.0,0,0,"1.0, 0.0, 0.0, 0.0, 1.0, 0.058081597, 0.0, 0.0, 0.0, 0.0, 0.47560763, 0.0, 0.0, 0.019360533, 0.0, 0.0, 0.0, 0.0, 0.23780382, 0.0, 0.0, 0.019360533, 0.0, 0.0, 0.0, 0.0, 0.11890191, 0.0, 0.0",,True,0,-14.0,-1.21074375,1.75,5.810098458427195,0.5336892226626924,3
25230.0,0,0,"1.0, 0.0, 0.0, 0.0, 1.0, 0.058081597, 0.0, 0.0, 0.0, 0.0, 0.47560763, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.47560763, 0.0, 0.0, -0.019360533, 0.0, 0.0, 0.0, 0.0, 0.23780382, 0.0, 0.0",,True,0,-21.0,-2.2002065625,3.375,5.537189874744318,0.5336892226626924,4
25235.0,0,1,"0.0, 1.0, 0.0, 0.0, 0.0, 0.058081597, 0.019360533, 0.0, 0.0, 0.0, 0.47560763, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.47560763, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-29.0,-3.540196234375,5.222222222222222,6.1067198946800625,0.5530497556467769,4
25240.0,0,1,"0.0, 1.0, 0.0, 0.0, 1.0, 0.058081597, 0.019360533, 0.0, 0.0, 0.0, 0.47560763, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.47560763, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-37.0,-5.21318642265625,7.444444444444445,5.950335068039661,0.5530497556467769,4
25245.0,0,1,"0.0, 1.0, 0.0, 0.0, 1.0, 0.058081597, 0.019360533, 0.14083049, 0.0, 0.0, 0.47560763, 0.0, 0.16393442, 0.0, 0.0, 0.0, 0.0, 0.0, 0.47560763, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-48.0,-7.352527101523438,7.909090909090909,6.966221263446608,0.857814667534357,4
25250.0,0,1,"0.0, 1.0, 0.0, 0.0, 1.0, 0.058081597, 0.019360533, 0.28166097, 0.0, 0.0, 0.47560763, 0.0, 0.0, 0.0, 0.0, 0.07041524, 0.0, 0.0, 0.47560763, 0.0, 0.0, 0.0, 0.0, 0.07041524, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-59.0,-9.934900746447266,8.23076923076923,6.735209420157759,0.8347107269629206,5
25255.0,0,1,"0.0, 1.0, 0.0, 0.0, 1.0, 0.058081597, 0.019360533, 0.28166097, 0.14083049, 0.0, 0.47560763, 0.0, 0.0, 0.019360533, 0.019360533, 0.07041524, 0.0, 0.0, 0.47560763, 0.0, 0.0, 0.019360533, 0.019360533, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,-73.0,-13.088155709124901,9.642857142857142,4.520217521850776,0.9755412126209926,7
25260.0,0,1,"0.0, 1.0, 0.0, 0.0, 1.0, 0.058081597, 0.019360533, 0.42249146, 0.14083049, 0.0, 0.47560763, 0.0, 0.0, 0.019360533, 0.019360533, 0.21124573, 0.07041524, 0.0, 0.47560763, 0.0, 0.0, 0.0, 0.0, 0.14083049, 0.07041524, 0.0, 0.0, 0.0, 0.0",,True,0,-89.0,-16.883747923668658,10.8125,3.0967763843574634,1.1163716982790644,10
25265.0,0,1,"0.0, 1.0, 0.0, 0.0, 1.0, 0.058081597, 0.019360533, 0.4929067, 0.21124573, 0.0, 0.47560763, 0.0, 0.0, 0.058081597, 0.019360533, 0.28166097, 0.14083049, 0.0, 0.47560763, 0.0, 0.0, 0.038721066, 0.0, 0.07041524, 0.07041524, 0.0, 0.0, 0.0, 0.0",,True,0,-107.0,-21.389560527485227,12.722222222222221,1.5916393133183828,1.2572021839371361,14
25270.0,0,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.058081597, 0.0, 0.4929067, 0.28166097, 0.0, 0.35670573, 0.0, 0.0, 0.0, 0.0, 0.28166097, 0.21124573, 0.0, 0.11890191, 0.0, 0.0, -0.058081597, -0.019360533, 0.0, 0.07041524, 0.0, -0.35670573, 0.0, 0.0",,True,0,-124.0,-26.520082501110963,5.05,2.6019957338754187,1.189354987854478,8
25275.0,0,2,"0.0, 0.0, 1.0, 0.0, 1.0, 0.038721066, 0.0, 0.4929067, 0.42249146, 0.0, 0.23780382, 0.0, 0.0, 0.0, 0.0, 0.3520762, 0.28166097, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07041524, 0.07041524, 0.0, -0.11890191, 0.0, 0.0",,True,0,-137.0,-32.04407837605541,4.391304347826087,4.569434815726403,1.1919230346008556,9
25280.0,0,2,"0.0, 0.0, 1.0, 0.0, 1.0, 0.07744213, 0.0, 0.6337372, 0.42249146, 0.0, 0.0, 0.0, 0.0, 0.019360533, 0.0, 0.3520762, 0.42249146, 0.0, 0.0, 0.0, 0.0, 0.019360533, 0.0, 0.0, 0.14083049, 0.0, 0.0, 0.0, 0.0",,True,0,-153.0,-38.091874457252636,6.25,4.726733338617664,1.133670774371877,12
