step,option,action,obs,termination_prob,should_terminate,greedy_option,cumulative_reward,average_cumulative_reward,waiting_time,speed,lane_density
5.0,0,3,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10567101, 0.15850651, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",0.0,False,0,0.0,0.0,0.0,12.242480755568605,0.3170130327580134
10.0,0,3,"1.0, 0.0, 0.0, 0.0, 1.0, 0.052835505, 0.052835505, 0.21134202, 0.15850651, 0.0, 0.0, 0.10567101, 0.10567101, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",0.0,False,0,0.0,0.0,0.0,12.41244175848541,0.6868615709756957
15.0,0,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.052835505, 0.10567101, 0.36984855, 0.15850651, 0.052835505, 0.0, 0.10567101, 0.15850651, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0",0.0,False,0,-0.01,-0.0005,0.05,10.138145274485147,1.0038746037337092
20.0,0,3,"0.0, 0.0, 0.0, 1.0, 1.0, 0.052835505, 0.10567101, 0.42268404, 0.10567101, 0.10567101, 0.0, 0.10567101, 0.10567101, 0.0, 0.0, 0.10567101, 0.0, 0.0, 0.0, 0.052835505, 0.0",0.0,False,0,-0.11,-0.005975,0.4782608695652174,9.370231596231145,1.003874603733709
25.0,0,3,"0.0, 0.0, 0.0, 1.0, 1.0, 0.15850651, 0.10567101, 0.47551954, 0.052835505, 0.15850651, 0.052835505, 0.21134202, 0.21134202, 0.0, 0.052835505, 0.26417753, 0.0, 0.0, 0.0, 0.10567101, 0.0",0.0,False,0,-0.42,-0.026676250000000002,1.2727272727272727,7.854092947639861,1.4265586474110603
30.0,0,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.21134202, 0.10567101, 0.52835506, 0.052835505, 0.21134202, 0.052835505, 0.26417753, 0.31701303, 0.052835505, 0.10567101, 0.26417753, 0.0, 0.0, 0.0, 0.0, 0.0",3.8918721875589443e-38,False,0,-0.68,-0.059342437500000005,1.131578947368421,7.352141708971811,1.7435716801690735
35.0,0,3,"0.0, 0.0, 1.0, 0.0, 1.0, 0.31701303, 0.21134202, 0.52835506, 0.15850651, 0.21134202, 0.052835505, 0.21134202, 0.36984855, 0.10567101, 0.10567101, 0.052835505, 0.052835505, 0.10567101, 0.0, 0.0, 0.10567101",0.0,False,0,-0.92,-0.102375315625,1.1914893617021276,7.188967323391143,2.060584712927087
40.0,0,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.36984855, 0.26417753, 0.63402605, 0.15850651, 0.21134202, 0.052835505, 0.21134202, 0.31701303, 0.15850651, 0.10567101, 0.052835505, 0.0, 0.15850651, 0.052835505, 0.0, 0.10567101",1.2013650548016253e-26,False,0,-1.37,-0.16575654984375,1.803921568627451,5.9730945827935615,2.219091229306094
45.0,0,3,"0.0, 0.0, 0.0, 1.0, 1.0, 0.47551954, 0.26417753, 0.63402605, 0.21134202, 0.26417753, 0.052835505, 0.26417753, 0.21134202, 0.21134202, 0.15850651, 0.26417753, 0.0, 0.21134202, 0.052835505, 0.10567101, 0.0",0.0,False,0,-2.11,-0.2629687223515625,3.109090909090909,5.535545270689561,2.3775977456851005
50.0,0,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.63402605, 0.31701303, 0.5811906, 0.15850651, 0.26417753, 0.052835505, 0.21134202, 0.36984855, 0.36984855, 0.26417753, 0.26417753, 0.052835505, 0.21134202, 0.052835505, 0.0, 0.052835505",7.30967643873805e-33,False,0,-2.93,-0.3963202862339844,4.120689655172414,4.45633129416213,2.5889397675237764
55.0,0,2,"0.0, 0.0, 1.0, 0.0, 1.0, 0.7396971, 0.36984855, 0.52835506, 0.21134202, 0.26417753, 0.052835505, 0.26417753, 0.47551954, 0.42268404, 0.26417753, 0.15850651, 0.052835505, 0.21134202, 0.052835505, 0.0, 0.15850651",1.2566126298849618e-31,False,0,-3.74,-0.5635042719222852,5.030769230769231,5.139212389813836,2.9059528002817894
60.0,0,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.79253256, 0.36984855, 0.63402605, 0.26417753, 0.26417753, 0.10567101, 0.36984855, 0.42268404, 0.52835506, 0.31701303, 0.15850651, 0.0, 0.26417753, 0.052835505, 0.052835505, 0.10567101",1.3945447873198844e-17,False,0,-4.9,-0.7803290583261709,6.043478260869565,3.8908542045293246,3.2229658330398028
65.0,0,3,"0.0, 0.0, 0.0, 1.0, 1.0, 0.79253256, 0.36984855, 0.79253256, 0.26417753, 0.26417753, 0.21134202, 0.47551954, 0.42268404, 0.79253256, 0.31701303, 0.26417753, 0.0, 0.26417753, 0.052835505, 0.15850651, 0.0",0.0,False,0,-6.32,-1.0573126054098623,7.368421052631579,4.1744871198212845,3.592814371257485
