step,option,action,obs,termination_prob,should_terminate,greedy_option,cumulative_reward,average_cumulative_reward,waiting_time,speed,lane_density
5.0,1,1,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.052835505, 0.10567101, 0.052835505, 0.0, 0.10567101, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",0.9983726143836975,True,1,0.0,0.0,0.0,12.54806198637457,0.4226840436773512
10.0,1,1,"1.0, 0.0, 0.0, 0.0, 1.0, 0.052835505, 0.052835505, 0.15850651, 0.21134202, 0.052835505, 0.052835505, 0.21134202, 0.21134202, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",0.9983952641487122,True,1,0.0,0.0,0.0,12.384737901485208,1.003874603733709
15.0,1,1,"0.0, 1.0, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.21134202, 0.31701303, 0.10567101, 0.052835505, 0.21134202, 0.36984855, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0",0.001662708818912506,False,0,-0.03,-0.0015,0.11538461538461539,10.737400197163073,1.3208876364917224
20.0,1,1,"0.0, 1.0, 0.0, 0.0, 1.0, 0.052835505, 0.052835505, 0.31701303, 0.31701303, 0.15850651, 0.052835505, 0.31701303, 0.36984855, 0.0, 0.0, 0.052835505, 0.10567101, 0.0, 0.0, 0.10567101, 0.052835505",0.9446073174476624,True,0,-0.22,-0.012425000000000002,0.6875,6.143892585621307,1.637900669249736
25.0,0,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.052835505, 0.052835505, 0.31701303, 0.36984855, 0.15850651, 0.10567101, 0.47551954, 0.31701303, 0.052835505, 0.0, 0.15850651, 0.10567101, 0.052835505, 0.052835505, 0.21134202, 0.052835505",1.0,True,0,-0.65,-0.04430375,1.3243243243243243,4.360345806424829,1.8492426910884117
30.0,0,2,"0.0, 0.0, 0.0, 1.0, 1.0, 0.052835505, 0.10567101, 0.42268404, 0.31701303, 0.21134202, 0.15850651, 0.47551954, 0.31701303, 0.052835505, 0.0, 0.26417753, 0.0, 0.10567101, 0.052835505, 0.26417753, 0.0",1.0,True,1,-1.17,-0.1005885625,2.3333333333333335,5.810427531515976,2.0605847129270867
35.0,1,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.15850651, 0.15850651, 0.52835506, 0.31701303, 0.21134202, 0.15850651, 0.52835506, 0.26417753, 0.052835505, 0.052835505, 0.15850651, 0.10567101, 0.15850651, 0.10567101, 0.26417753, 0.052835505",2.937849074256815e-17,False,1,-1.7,-0.180559134375,2.0754716981132075,5.643689633450321,2.3247622402254313
40.0,1,2,"0.0, 0.0, 1.0, 0.0, 1.0, 0.15850651, 0.21134202, 0.52835506, 0.42268404, 0.21134202, 0.21134202, 0.63402605, 0.26417753, 0.052835505, 0.052835505, 0.0, 0.26417753, 0.15850651, 0.15850651, 0.052835505, 0.15850651",0.9995361566543579,True,0,-2.06,-0.27453117765625,2.2666666666666666,5.3262134032086275,2.6417752729834447
45.0,0,2,"0.0, 0.0, 1.0, 0.0, 1.0, 0.15850651, 0.31701303, 0.36984855, 0.42268404, 0.21134202, 0.21134202, 0.5811906, 0.31701303, 0.052835505, 0.15850651, 0.0, 0.31701303, 0.21134202, 0.15850651, 0.0, 0.26417753",1.0,True,0,-2.61,-0.39130461877343753,3.7868852459016393,4.783956434446469,2.588939767523776
50.0,0,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.15850651, 0.31701303, 0.42268404, 0.42268404, 0.21134202, 0.21134202, 0.63402605, 0.36984855, 0.15850651, 0.21134202, 0.052835505, 0.26417753, 0.21134202, 0.15850651, 0.052835505, 0.10567101",1.0,True,0,-3.42,-0.5427393878347656,4.238095238095238,4.467892546628524,2.7474462839027827
