episode,cumulative_reward,average_cumulative_reward,mean_waiting_time,mean_speed,mean_lane_density
0,-18.32,-34.57675849951578,8.780615841319129,4.797120417675307,2.1450451027117667
1,-28.17,-19.86883674624324,9.59209230365276,4.066454868253143,2.3085728691704572
2,-12.62,-13.221040199377645,7.762263924328112,4.6293637725118115,2.1081204952038823
3,-20.27,-13.897822291878802,6.639257662757467,4.4529080296694135,2.2146341270692647
4,-26.76,-17.002167322518428,8.338874015597565,4.238584422017218,2.240513629127294
5,-24.18,-14.89669115879383,6.377755364408787,4.581166164496974,2.2019959599412977
6,-33.91,-27.41138730883039,9.078333679887153,4.1549432354078135,2.265287105999887
7,-5.62,-14.979127982359154,8.5388758275761,4.13109591393257,2.316235946793109
8,-6.12,-9.305049022575623,10.704327579453802,3.8669470863587354,2.36358936085552
9,-16.17,-13.399735617850268,8.374498439555817,4.1994975025312575,2.253825644452125
10,-15.36,-7.004119628130854,8.329494026610487,4.78334029933642,2.1515466162897647
11,-20.56,-20.245393948490108,7.0328123687073125,4.629755789413703,2.1436640846058728
12,-8.54,-13.941670911757907,8.424894064422867,4.571462539516535,2.2131962291412055
13,-15.62,-18.934666720491162,7.417203272766445,4.490048098392428,2.213912822406739
14,-14.97,-9.938956661267115,5.542848903148333,4.354804390007162,2.207236617151648
15,-4.5,-9.691206121218347,8.315623953108084,4.3712275336291615,2.223055869333446
16,-38.37,-27.223032458782114,7.423953372029624,4.408546098900979,2.2120346675775946
17,-7.17,-5.443558575134555,6.345732125448607,4.793321142951524,2.1331558363586662
18,-3.84,-6.159328872869809,8.741414993653027,3.7821396823109326,2.381011780016124
19,-6.49,-8.238505102382426,8.553364746092852,4.14201149145126,2.2837946787998082
20,-32.27,-29.01159193291182,8.581666049927378,4.622473339165446,2.1725859964974226
21,-41.38,-36.02019795172182,12.291409541759005,3.7147633899580477,2.4311289132237435
22,-29.85,-27.1477983253864,7.451575355425089,4.427340932327103,2.174618308249861
