step,cumulative_reward,average_cumulative_reward,waiting_time,speed,lane_density
5.0,0.0,0.0,0.0,13.894962699746468,0.050488051027059555
10.0,0.0,0.0,0.0,13.3493411974875,1.100976102054119
15.0,0.0,0.0,0.0,10.750702973300937,0.10097610205411911
20.0,-0.05,-0.0025000000000000005,0.5,10.773957471762671,1.100976102054119
25.0,-0.010000000000000002,-0.0028750000000000004,0.09090909090909091,9.36332294254999,0.050488051027059555
30.0,-0.11000000000000001,-0.008231250000000002,1.0,9.46141623507068,1.100976102054119
35.0,-0.04000000000000001,-0.009819687500000002,0.0,9.607654318098842,0.20195220410823822
40.0,-0.04000000000000001,-0.011328703125,0.3076923076923077,11.306461531402592,1.2524402514100075
45.0,-0.12,-0.01676226796875,0.7058823529411765,9.865100226286577,1.3534163534641266
50.0,-0.29,-0.0304241545703125,1.7058823529411764,8.607810486532351,1.3534163534641266
55.0,-0.52,-0.054902946841796876,2.6,8.19360990995057,1.454392448067665
60.0,-0.84,-0.09415779949970704,3.8181818181818183,8.41257137346944,1.5048804879188538
65.0,-1.22,-0.15044990952472168,5.304347826086956,7.42708889697038,1.5048804879188538
70.0,-1.69,-0.2274274140484856,7.3478260869565215,7.058579565751664,1.5048804879188538
75.0,-2.19,-0.3255560433460613,9.125,7.721509222036405,1.6058565974235535
80.0,-2.69,-0.44377824117875825,11.208333333333334,7.467507100611717,1.6563446521759033
85.0,-2.27,-0.5350893291198203,4.380952380952381,5.196055242517152,0.5553685426712036
90.0,-1.06,-0.5613348626638294,0.4090909090909091,6.999771392775704,1.3534163534641266
95.0,-1.18,-0.5922681195306378,0.28,7.4538639086368335,0.5048804879188538
100.0,-1.36,-0.6306547135541059,1.7272727272727273,8.081370045183062,1.5048804879188538
105.0,-1.71,-0.6846219778764006,3.0416666666666665,7.616257173204597,1.5553685426712036
110.0,-2.14,-0.7573908789825805,5.043478260869565,6.886325424603745,1.6058565974235535
115.0,-2.67,-0.8530213350334515,7.041666666666667,6.429833298610806,1.757320761680603
120.0,-3.22,-0.9713702682817789,9.73913043478261,5.627992516339667,1.8582968711853027
125.0,-3.85,-1.1153017548676898,13.045454545454545,2.9972687580116473,1.8582968711853027
130.0,-4.66,-1.2925366671243053,16.0,3.143422778710231,1.9087849259376526
135.0,-5.51,-1.5034098337680901,22.65,1.9042610376016313,1.9087849259376526
140.0,-4.85,-1.6707393420796854,11.954545454545455,3.468981917624868,0.9087849259376526
145.0,-2.95,-1.7347023749757011,1.0434782608695652,5.932317131818675,1.7068327069282532
150.0,-2.19,-1.757467256226916,0.034482758620689655,8.485815119187688,0.6563446521759033
155.0,-2.4,-1.78959389341557,0.8461538461538461,6.712218477724169,1.7068327069282532
160.0,-2.89,-1.8446141987447915,2.730769230769231,5.9627801483885285,1.757320761680603
165.0,-3.55,-1.9298834888075518,5.074074074074074,5.767004608203826,1.757320761680603
170.0,-4.28,-2.047389314367174,7.241379310344827,5.706964907525296,1.757320761680603
175.0,-5.03,-2.196519848648815,10.555555555555555,5.297213659076375,1.8078088164329529
180.0,-4.44,-2.308693856216374,7.56,5.00662128876763,0.7068327069282532
185.0,-2.74,-2.330259163405555,0.25,6.432850506384497,1.5553685426712036
190.0,-2.37,-2.3322462052352773,0.18518518518518517,7.411369264864157,0.5553685426712036
195.0,-2.57,-2.3441338949735133,1.28,6.962323878929103,1.5553685426712036
200.0,-3.08,-2.3809272002248374,3.4583333333333335,6.765585283794799,1.6058565974235535
205.0,-3.63,-2.443380840213595,6.0,6.459028658280247,1.6563446521759033
210.0,-2.84,-2.463211798202915,3.3181818181818183,6.563494183259968,0.6058565974235535
215.0,-1.24,-2.402051208292769,0.1,8.65706728757419,1.454392448067665
220.0,-1.1,-2.3369486478781307,0.2608695652173913,8.306927906425239,0.5553685426712036
225.0,-1.41,-2.290601215484224,1.6818181818181819,8.000454799707784,1.7068327069282532
230.0,-1.86,-2.2690711547100126,3.9047619047619047,5.5462767930770545,1.7068327069282532
235.0,-2.45,-2.278117596974512,7.777777777777778,3.0997612845452642,1.7068327069282532
240.0,-3.11,-2.319711717125786,10.842105263157896,3.430056836599017,1.757320761680603
245.0,-3.81,-2.394226131269497,14.526315789473685,3.594439346652214,1.757320761680603
250.0,-4.52,-2.500514824706022,15.08695652173913,4.770999248492072,1.8582968711853027
255.0,-5.27,-2.638989083470721,17.583333333333332,4.669825014258342,1.95927295088768
260.0,-6.09,-2.811539629297185,19.384615384615383,3.9870399647921477,2.0097609758377075
265.0,-7.01,-3.021462647832325,20.551724137931036,4.2095619485160904,2.1107370853424072
270.0,-8.01,-3.2708895154407087,23.2,3.8241959021159273,2.161225140094757
275.0,-9.08,-3.5613450396686734,24.333333333333332,4.078750841673752,2.211713194847107
280.0,-10.21,-3.8937777876852397,26.17142857142857,4.304596434457871,2.211713194847107
285.0,-11.4,-4.269088898300978,29.571428571428573,4.093821089445487,2.262201249599457
290.0,-10.58,-4.584634453385928,21.558823529411764,3.4006299588235938,1.161225140094757
295.0,-8.11,-4.760902730716632,7.914285714285715,4.7211478031459055,2.0097609758377075
300.0,-8.39,-4.9423575941808,0.5,4.638869459323196,1.0602490305900574
305.0,-8.54,-5.1222397144717595,1.0588235294117647,5.1473439059987,2.1107370853424072
310.0,-9.14,-5.3231277287481715,2.878787878787879,4.390614816827655,2.1107370853424072
315.0,-10.11,-5.562471342310762,5.333333333333333,4.800175158984894,2.211713194847107
320.0,-11.23,-5.845847775195224,8.941176470588236,3.8402232273296733,2.262201249599457
325.0,-12.43,-6.175055386435463,12.114285714285714,3.661307118584363,2.262201249599457
330.0,-13.68,-6.550302617113689,17.15625,2.832960966294903,2.262201249599457
335.0,-14.93,-6.969287486258005,21.741935483870968,2.400917743363763,2.3126893043518066
340.0,-16.18,-7.429823111945105,25.774193548387096,2.1928234299342115,2.4136654138565063
345.0,-17.48,-7.9323319563478485,28.151515151515152,1.8335679448827642,2.514641523361206
350.0,-16.46,-8.358715358530455,21.333333333333332,2.3083103263585403,1.514641523361206
355.0,-13.04,-8.592779590603932,10.58974358974359,3.4288482058493517,2.3126893043518066
360.0,-13.62,-8.844140611073737,2.9285714285714284,4.328747657918364,1.4136654138565063
365.0,-14.06,-9.104933580520049,0.925,4.213627614307792,2.464153468608856
370.0,-14.64,-9.381686901494046,2.2564102564102564,4.077036428686489,2.514641523361206
375.0,-15.54,-9.689602556419342,4.944444444444445,2.285543437651582,2.514641523361206
380.0,-16.77,-10.043622428598374,8.6,1.6766388508254115,2.514641523361206
385.0,-18.26,-10.454441307168455,11.842105263157896,2.3092472307210703,2.6156176328659058
390.0,-19.8,-10.921719241810033,14.380952380952381,2.5503892655542226,2.7165937423706055
395.0,-21.47,-11.449133279719529,18.804878048780488,2.0011352149263413,2.7165937423706055
400.0,-23.17,-12.035176615733553,23.525,1.7150228445045967,2.7165937423706055
405.0,-24.87,-12.676917784946873,27.097560975609756,1.9381814068381098,2.7165937423706055
410.0,-26.57,-13.371571895699528,31.24390243902439,1.9304662587464219,2.7670817971229553
415.0,-28.29,-14.117493300914552,31.58695652173913,2.1772978282568722,2.918545961380005
420.0,-30.17,-14.920118635868823,36.46666666666667,1.9914742654658435,2.918545961380005
425.0,-28.61,-15.60461270407538,30.680851063829788,2.618527492620527,1.8175698518753052
430.0,-24.08,-16.02838206887161,20.4375,4.184050738779301,2.6156176328659058
435.0,-24.9,-16.47196296542803,12.479166666666666,4.073799504082981,1.6156176328659058
440.0,-25.6,-16.928364817156627,3.977777777777778,4.172650161194815,2.6156176328659058
445.0,-26.33,-17.398446576298795,2.0416666666666665,4.450569009284673,2.7165937423706055
450.0,-27.32,-17.894524247483854,4.191489361702128,3.39382054953052,2.817569851875305
455.0,-28.62,-18.43079803510966,7.086956521739131,2.510051707749932,2.918545961380005
460.0,-30.26,-19.02225813335418,10.652173913043478,2.3800143041095545,2.918545961380005
465.0,-32.16,-19.67914522668647,14.782608695652174,2.283488714675552,2.918545961380005
470.0,-34.06,-20.398187965352143,18.91304347826087,2.3323667777113726,2.918545961380005
475.0,-35.96,-21.176278567084537,22.5531914893617,2.5379247539444525,2.918545961380005
480.0,-37.86,-22.010464638730312,27.17391304347826,2.2959530576504195,2.918545961380005
485.0,-39.76,-22.897941406793795,32.72727272727273,1.7632877057908936,2.918545961380005
490.0,-41.66,-23.8360443364541,36.22222222222222,2.0801622028506035,2.918545961380005
495.0,-43.56,-24.822242119631397,41.36363636363637,1.9209857305347577,2.918545961380005
500.0,-45.46,-25.854130013649826,45.68181818181818,1.9831998724394901,2.918545961380005
