step,option,action,obs,termination_prob,should_terminate,greedy_option,cumulative_reward,average_cumulative_reward,waiting_time,speed,lane_density
5.0,0,2,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.10567101, 0.0, 0.052835505, 0.21134202, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",1.0,True,1,0.0,0.0,0.0,12.023786076799745,0.4226840436773512
10.0,1,3,"1.0, 0.0, 0.0, 0.0, 1.0, 0.052835505, 0.0, 0.052835505, 0.21134202, 0.052835505, 0.10567101, 0.31701303, 0.15850651, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",1.0,True,1,0.0,0.0,0.0,12.52459284580818,0.9510390982740402
15.0,1,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.10567101, 0.052835505, 0.15850651, 0.21134202, 0.052835505, 0.15850651, 0.36984855, 0.21134202, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.0",1.0,True,1,-0.03,-0.0015,0.10714285714285714,10.090898534728902,1.3208876364917224
20.0,1,3,"0.0, 0.0, 0.0, 1.0, 1.0, 0.21134202, 0.10567101, 0.21134202, 0.21134202, 0.052835505, 0.15850651, 0.36984855, 0.21134202, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.052835505, 0.26417753, 0.0",1.0,True,1,-0.27,-0.014925,0.7941176470588235,8.962388285514507,1.532229658330398
25.0,1,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.26417753, 0.21134202, 0.21134202, 0.21134202, 0.15850651, 0.15850651, 0.42268404, 0.31701303, 0.052835505, 0.0, 0.0, 0.052835505, 0.052835505, 0.10567101, 0.21134202, 0.052835505",1.0,True,1,-0.54,-0.04117875,0.8837209302325582,7.23349542703485,1.9549137020077492
30.0,1,3,"0.0, 0.0, 1.0, 0.0, 1.0, 0.31701303, 0.21134202, 0.052835505, 0.21134202, 0.21134202, 0.15850651, 0.42268404, 0.36984855, 0.15850651, 0.052835505, 0.0, 0.052835505, 0.052835505, 0.15850651, 0.0, 0.21134202",1.0,True,1,-0.98,-0.0881198125,1.565217391304348,6.527131582004544,1.9549137020077492
35.0,1,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.31701303, 0.31701303, 0.052835505, 0.26417753, 0.21134202, 0.15850651, 0.5811906, 0.36984855, 0.26417753, 0.10567101, 0.0, 0.052835505, 0.10567101, 0.15850651, 0.10567101, 0.10567101",1.0,True,1,-1.62,-0.164713821875,2.230769230769231,5.151701456143022,2.2719267347657626
40.0,1,3,"0.0, 0.0, 0.0, 1.0, 1.0, 0.42268404, 0.31701303, 0.10567101, 0.26417753, 0.31701303, 0.15850651, 0.5811906, 0.36984855, 0.31701303, 0.21134202, 0.052835505, 0.0, 0.15850651, 0.15850651, 0.26417753, 0.0",1.0,True,1,-2.36,-0.27447813078125,3.456140350877193,5.488881189592191,2.536104262064107
45.0,1,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.42268404, 0.42268404, 0.052835505, 0.26417753, 0.31701303, 0.21134202, 0.5811906, 0.42268404, 0.31701303, 0.21134202, 0.0, 0.052835505, 0.21134202, 0.15850651, 0.26417753, 0.10567101",1.0,True,1,-3.32,-0.42675422424218745,4.813559322033898,4.336111388866436,2.694610778443114
50.0,1,3,"0.0, 0.0, 1.0, 0.0, 1.0, 0.42268404, 0.47551954, 0.052835505, 0.31701303, 0.42268404, 0.26417753, 0.63402605, 0.42268404, 0.42268404, 0.31701303, 0.0, 0.15850651, 0.26417753, 0.15850651, 0.21134202, 0.21134202",1.0,True,1,-4.46,-0.6284165130300781,6.2153846153846155,3.877301361783935,3.0116238112011273
55.0,1,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.42268404, 0.47551954, 0.10567101, 0.26417753, 0.42268404, 0.31701303, 0.6868616, 0.52835506, 0.42268404, 0.42268404, 0.0, 0.10567101, 0.31701303, 0.21134202, 0.10567101, 0.21134202",1.0,True,1,-5.84,-0.888995687378574,7.242857142857143,3.5595436911456657,3.2229658330398028
60.0,1,3,"0.0, 0.0, 0.0, 1.0, 1.0, 0.47551954, 0.47551954, 0.10567101, 0.15850651, 0.52835506, 0.36984855, 0.79253256, 0.52835506, 0.42268404, 0.47551954, 0.0, 0.0, 0.42268404, 0.21134202, 0.21134202, 0.0",1.0,True,1,-7.11,-1.2000459030096453,8.63013698630137,3.7499234036415436,3.4343078548784787
65.0,1,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.47551954, 0.52835506, 0.10567101, 0.26417753, 0.52835506, 0.42268404, 0.7396971, 0.5811906, 0.42268404, 0.47551954, 0.0, 0.10567101, 0.42268404, 0.26417753, 0.21134202, 0.10567101",1.0,True,1,-8.74,-1.577043607859163,10.220779220779221,3.158600755801659,3.6456498767171537
70.0,1,3,"0.0, 0.0, 1.0, 0.0, 1.0, 0.52835506, 0.52835506, 0.15850651, 0.36984855, 0.52835506, 0.42268404, 0.7396971, 0.6868616, 0.47551954, 0.47551954, 0.0, 0.15850651, 0.52835506, 0.36984855, 0.10567101, 0.21134202",1.0,True,1,-10.59,-2.0276914274662046,11.865853658536585,3.0947539580584946,3.9626629094751675
75.0,1,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.5811906, 0.5811906, 0.26417753, 0.47551954, 0.5811906, 0.42268404, 0.79253256, 0.63402605, 0.52835506, 0.52835506, 0.0, 0.0, 0.52835506, 0.42268404, 0.10567101, 0.26417753",1.0,True,0,-12.56,-2.5543068560928943,12.831460674157304,3.011954647298943,4.33251144769285
80.0,0,2,"0.0, 0.0, 0.0, 1.0, 1.0, 0.5811906, 0.5811906, 0.42268404, 0.52835506, 0.6868616, 0.52835506, 0.8453681, 0.5811906, 0.52835506, 0.52835506, 0.052835505, 0.0, 0.52835506, 0.42268404, 0.21134202, 0.15850651",1.0,True,1,-14.35,-3.1440915132882497,13.793814432989691,3.2226774291358664,4.755195491370201
85.0,1,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.63402605, 0.5811906, 0.47551954, 0.5811906, 0.6868616, 0.52835506, 0.79253256, 0.6868616, 0.5811906, 0.5811906, 0.0, 0.10567101, 0.5811906, 0.42268404, 0.31701303, 0.15850651",1.0,True,1,-16.66,-3.819886937623837,15.176470588235293,2.6305492013077947,4.966537513208877
90.0,1,3,"0.0, 0.0, 1.0, 0.0, 1.0, 0.63402605, 0.63402605, 0.36984855, 0.63402605, 0.6868616, 0.52835506, 0.79253256, 0.7396971, 0.5811906, 0.5811906, 0.0, 0.26417753, 0.6868616, 0.52835506, 0.15850651, 0.26417753",1.0,True,1,-19.06,-4.581892590742645,17.388349514563107,2.072507430312376,5.019373018668546
95.0,1,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.63402605, 0.63402605, 0.36984855, 0.5811906, 0.79253256, 0.5811906, 0.79253256, 0.79253256, 0.63402605, 0.63402605, 0.052835505, 0.26417753, 0.6868616, 0.52835506, 0.26417753, 0.31701303",1.0,True,0,-21.83,-5.444297961205512,19.10377358490566,1.6634064529722896,5.177879535047552
