step,option,action,obs,termination_prob,should_terminate,greedy_option,cumulative_reward,average_cumulative_reward,waiting_time,speed,lane_density
5.0,0,3,"1.0, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.10567101, 0.10567101, 0.0, 0.0, 0.15850651, 0.15850651, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",1.0,True,1,0.0,0.0,0.0,12.058799767258007,0.5811905600563578
10.0,1,3,"1.0, 0.0, 0.0, 0.0, 1.0, 0.052835505, 0.052835505, 0.21134202, 0.21134202, 0.0, 0.0, 0.26417753, 0.21134202, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",1.0,True,0,0.0,0.0,0.0,12.858388734798387,1.003874603733709
15.0,0,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.10567101, 0.10567101, 0.36984855, 0.15850651, 0.10567101, 0.0, 0.26417753, 0.26417753, 0.052835505, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0",1.0,True,1,-0.03,-0.0015,0.1,10.14260364784047,1.3737231419513916
20.0,1,2,"0.0, 0.0, 0.0, 1.0, 1.0, 0.10567101, 0.21134202, 0.47551954, 0.26417753, 0.10567101, 0.0, 0.31701303, 0.15850651, 0.052835505, 0.0, 0.15850651, 0.0, 0.0, 0.0, 0.21134202, 0.0",1.0,True,0,-0.29000000000000004,-0.015925,0.7631578947368421,8.762178628420958,1.6379006692497358
25.0,0,3,"0.0, 0.0, 0.0, 1.0, 1.0, 0.15850651, 0.26417753, 0.47551954, 0.21134202, 0.10567101, 0.0, 0.42268404, 0.10567101, 0.10567101, 0.052835505, 0.26417753, 0.0, 0.0, 0.0, 0.26417753, 0.0",1.0,True,1,-0.8500000000000001,-0.05762875000000001,2.0238095238095237,6.672252686975955,1.7435716801690737
30.0,1,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.21134202, 0.31701303, 0.52835506, 0.15850651, 0.15850651, 0.052835505, 0.36984855, 0.052835505, 0.10567101, 0.15850651, 0.31701303, 0.0, 0.10567101, 0.0, 0.15850651, 0.052835505",1.0,True,0,-1.44,-0.12674731250000001,2.3488372093023258,5.606917884998536,1.8492426910884114
35.0,0,3,"0.0, 0.0, 1.0, 0.0, 1.0, 0.21134202, 0.31701303, 0.42268404, 0.26417753, 0.15850651, 0.10567101, 0.21134202, 0.15850651, 0.10567101, 0.21134202, 0.052835505, 0.15850651, 0.10567101, 0.0, 0.0, 0.052835505",1.0,True,1,-1.63,-0.20190994687500002,2.297872340425532,6.148859748960954,1.8492426910884114
40.0,1,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.21134202, 0.31701303, 0.47551954, 0.26417753, 0.21134202, 0.10567101, 0.31701303, 0.15850651, 0.21134202, 0.31701303, 0.0, 0.0, 0.15850651, 0.0, 0.052835505, 0.0",1.0,True,0,-2.07,-0.29531444953125,2.8979591836734695,6.121193024029061,2.060584712927087
45.0,0,3,"0.0, 0.0, 0.0, 1.0, 1.0, 0.21134202, 0.31701303, 0.63402605, 0.36984855, 0.21134202, 0.10567101, 0.47551954, 0.15850651, 0.21134202, 0.31701303, 0.15850651, 0.0, 0.15850651, 0.052835505, 0.21134202, 0.0",1.0,True,1,-2.83,-0.42204872705468754,4.125,6.105141305502223,2.4832687566044385
50.0,1,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.31701303, 0.31701303, 0.6868616, 0.42268404, 0.21134202, 0.10567101, 0.52835506, 0.26417753, 0.21134202, 0.31701303, 0.15850651, 0.052835505, 0.15850651, 0.10567101, 0.10567101, 0.052835505",1.0,True,0,-3.57,-0.5794462907019531,4.806451612903226,4.821729468911273,2.8531172948221206
55.0,0,3,"0.0, 0.0, 1.0, 0.0, 1.0, 0.31701303, 0.36984855, 0.7396971, 0.5811906, 0.21134202, 0.15850651, 0.5811906, 0.31701303, 0.21134202, 0.31701303, 0.052835505, 0.15850651, 0.21134202, 0.10567101, 0.0, 0.052835505",1.0,True,1,-4.18,-0.7594739761668554,5.309859154929577,4.553481636868911,3.275801338499472
60.0,1,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.31701303, 0.36984855, 0.79253256, 0.6868616, 0.21134202, 0.21134202, 0.63402605, 0.36984855, 0.31701303, 0.31701303, 0.10567101, 0.15850651, 0.21134202, 0.10567101, 0.052835505, 0.0",1.0,True,0,-5.24,-0.9835002773585126,6.026315789473684,3.530799517962624,3.5928143712574854
65.0,0,3,"0.0, 0.0, 0.0, 1.0, 1.0, 0.36984855, 0.36984855, 0.8453681, 0.5811906, 0.31701303, 0.31701303, 0.6868616, 0.31701303, 0.31701303, 0.36984855, 0.21134202, 0.052835505, 0.21134202, 0.10567101, 0.26417753, 0.0",1.0,True,1,-6.44,-1.256325263490587,7.329113924050633,3.7711706856951523,3.804156393096161
70.0,1,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.42268404, 0.36984855, 0.79253256, 0.63402605, 0.36984855, 0.36984855, 0.7396971, 0.42268404, 0.31701303, 0.36984855, 0.26417753, 0.10567101, 0.21134202, 0.15850651, 0.21134202, 0.0",1.0,True,0,-7.61,-1.5740090003160576,7.827586206896552,3.635364985772005,4.121169425854174
75.0,0,3,"0.0, 0.0, 1.0, 0.0, 1.0, 0.47551954, 0.36984855, 0.7396971, 0.6868616, 0.42268404, 0.36984855, 0.7396971, 0.47551954, 0.36984855, 0.36984855, 0.21134202, 0.21134202, 0.31701303, 0.26417753, 0.15850651, 0.15850651",1.0,True,1,-8.88,-1.9393085503002547,8.824175824175825,3.022985950208717,4.279675942233181
