episode,cumulative_reward,average_cumulative_reward,mean_waiting_time,mean_speed,mean_lane_density
0,-80.44,-77.8680499499778,15.381622254281215,1.7977940974361446,6.6694159915463205
1,-77.83,-77.1305399266955,15.325963780484923,1.8518300315502407,6.527278971468828
2,-82.73,-80.08240533973321,14.741708992834418,1.802609753037921,6.691939767523777
3,-80.07,-81.64678651972037,14.778415111218349,1.822707779058435,6.707692849594928
4,-81.44,-78.62018159247243,14.794764980721514,1.8098103021904257,6.723536104262064
5,-77.5,-79.36395352379968,15.376229862592707,1.812029890739222,6.6189144064811565
6,-80.09,-79.17637389187277,15.246325098765519,1.7924898948566397,6.6737964071856295
7,-78.9,-77.75052364863882,14.734246456193647,1.854772430752923,6.5632934131736524
8,-81.14,-77.70415022777547,14.796318164727861,1.8060220903286381,6.706460021134203
9,-78.73,-79.06380457466982,14.815032812656286,1.8082959652389983,6.719195843606905
10,-80.73,-77.865730960299,14.935050635039802,1.8290502289060429,6.646172595984503
11,-76.94,-77.63504454974598,14.305683734256968,1.841584242335835,6.563856639661854
12,-76.87,-77.55175500690466,15.746062454939583,1.7731864744837331,6.706334977104616
13,-80.48,-78.77608728124193,14.647544512896493,1.8443557287577943,6.618051426558648
14,-80.66,-78.53706110711346,14.519484328656716,1.817203367887967,6.651264529764003
15,-80.08,-78.74534792294496,14.97359573367733,1.8125198739884802,6.676949277914759
16,-82.26,-78.9811901131743,14.944190912066599,1.802965066106345,6.760951039098274
17,-79.68,-79.32151224660399,14.751399610192356,1.813778364840649,6.700489609017261
18,-80.51,-79.02971550529045,15.006343592609493,1.775896286885334,6.725873194786899
19,-82.21,-79.79386080944327,14.894294250139819,1.81731885047051,6.659926382529061
20,-81.14,-79.08210255283575,14.773287576982721,1.829244707402736,6.685440648115534
21,-80.38,-79.53921741199112,14.862558145011667,1.8272342246553641,6.671137372314196
22,-76.58,-77.93901594929766,14.803743390551034,1.8153217842958038,6.70556428319831
23,-77.01,-77.61182058735136,15.052467135544356,1.7859175621726422,6.783255019373019
24,-84.75,-81.11162608000616,14.796746456599656,1.7972810480147352,6.718154631912647
25,-77.71,-78.7819793762139,15.360898568347347,1.7905655523058575,6.724627333568158
26,-79.04,-79.18412841231464,15.832413983996087,1.8126601384734622,6.614848538217684
27,-82.43,-81.23510908911099,15.04618470367082,1.7981540057532202,6.7469048960901725
28,-78.92,-79.83817423530178,14.705568812386419,1.8317792278956821,6.66073441352589
29,-75.1,-79.13623521327408,14.744952176602652,1.812195759840662,6.704841141246919
30,-76.75,-77.30893071460095,15.786488777269899,1.7953689157388077,6.708064107079959
31,-79.94,-78.58280215989241,14.594134339513133,1.8419378285782946,6.596467770341671
32,-78.98,-76.77723765012404,15.97373231990029,1.78881764446874,6.662926030292358
33,-71.61,-77.4045972181008,15.14608475995923,1.7982417583630879,6.762336033814724
34,-82.65,-79.7322065821811,14.752298512334368,1.8187712135649654,6.622218738992604
35,-77.55,-77.2084205435919,14.804094653950644,1.8144687490386082,6.700765058119057
36,-80.88,-81.93259620449913,14.939584262317153,1.8063295920029905,6.762628742514972
37,-80.94,-77.48734735374985,17.553734047327183,1.7801199297639496,6.662041211694259
38,-81.58,-79.95111053202575,14.717032629135053,1.823453448391296,6.664658682634731
39,-80.39,-78.9103766447688,14.618148887865665,1.8484621738367206,6.6152226135963375
40,-83.82,-80.30163763835745,15.002669298685625,1.81110093780316,6.714951743571681
41,-75.59,-76.87286434340345,14.787191865175908,1.795453018350947,6.737268052131033
42,-77.35,-77.94388326961226,15.919655277040839,1.7680757341665911,6.7493127861923226
43,-80.27,-79.59537212957285,17.028553257309255,1.7555825977181907,6.748653751320888
44,-79.53,-78.85277766735878,15.662217639463526,1.7999227388944865,6.703757308911588
45,-81.2,-77.65934060430686,14.711577979615306,1.8051071729511903,6.7210426206410725
46,-83.34,-79.58347398301336,14.822676145880628,1.801655297903631,6.736235646354351
47,-73.89,-77.9489975461376,14.849818888493234,1.7781972794554008,6.745004226840438
48,-76.56,-78.4247657919946,15.135103352121558,1.7873587007634655,6.712910884114126
49,-81.61,-78.76196696925658,15.521753765287347,1.7839715335111892,6.642200422684044
50,-80.17,-78.92574973899643,14.836083428419776,1.823370408954218,6.6554047199718225
51,-81.42,-79.83403721181266,14.810942517156207,1.8205633827194143,6.650991898555831
52,-76.72,-77.43021893824633,14.98956471857218,1.8106901670563695,6.730156040859458
53,-85.94,-82.74096075463318,14.791985228297705,1.8082018700012898,6.7190436773511815
54,-77.98,-79.58777051728468,14.850219412122376,1.8262125230437711,6.606579781613245
55,-82.7,-79.80638407537236,15.641547848104837,1.789395512292484,6.64500105671011
56,-76.1,-78.68927068989603,15.58662102016687,1.7977355605913197,6.663984149348363
57,-80.37,-78.08539863480783,16.001106050044573,1.8244704619228755,6.545639309616063
58,-81.38,-80.88699598857274,14.531558575912593,1.822820535847804,6.6479380063402616
59,-79.02,-78.97890115154752,14.778934360520179,1.8061895734617162,6.661550193730187
60,-77.87,-78.46035682401299,15.716504655698639,1.7977787583180698,6.66390102148644
61,-80.33,-79.58214260775794,16.415637094123625,1.800208777316227,6.601564283198311
62,-79.92,-78.57509440008576,15.527838325732283,1.7968900237865582,6.697668545262417
63,-81.17,-79.78802553054966,14.723458854708758,1.8128401765259012,6.71828601620289
64,-79.74,-78.50614370567574,14.475420634112936,1.814314270421224,6.669823529411766
65,-82.47,-80.76905400503486,14.974227971284291,1.8041980817822503,6.677282493835859
66,-81.08,-78.65062172905382,15.534727471354865,1.8132692524325413,6.597941176470589
67,-81.38,-77.72964655210167,14.513185156220073,1.8077053023488956,6.661570271222263
68,-79.86,-78.80474723947843,14.831702933492847,1.8123066778247998,6.738829869672421
69,-77.2,-78.99603566197757,14.72392603360287,1.824637018119692,6.674551602677
70,-78.24,-76.7874798626761,15.387727176031458,1.824532565888038,6.639742867206763
71,-80.68,-77.3846147124726,15.37217830685919,1.7993227963662835,6.669905248326877
72,-79.39,-78.79120411416709,14.779701998798558,1.7885825833355549,6.724116238112012
73,-80.21,-78.6450217729272,16.09240630698828,1.8053559580339742,6.639897499119409
74,-76.86,-78.03914245871903,14.935725800191245,1.8085401682278004,6.70335047551955
75,-79.83,-78.80024661315872,14.886371614233143,1.823201195607794,6.680464952448046
76,-79.56,-79.33414045093603,14.541526484646573,1.8147928587611868,6.685291299753435
77,-79.77,-79.08360789534733,14.352578541549072,1.818244524932719,6.639759422331808
78,-79.62,-80.17827502099695,14.66359909276167,1.820298102614039,6.6739341317365275
79,-81.66,-79.54032097062412,14.67613361464978,1.8096000808413306,6.713716801690736
80,-79.5,-79.91855372097544,14.762064317866761,1.8147577821332854,6.666679112363509
81,-74.79,-80.02738034560919,14.595418984992106,1.8020050938639824,6.747117294822121
82,-80.25,-77.73328053989403,14.816959083789989,1.816412979656684,6.694131032053542
83,-77.15,-79.87339446592819,14.99099528473053,1.8271715727758557,6.642803804156394
84,-77.62,-76.65416878415952,14.916688897607962,1.8167226306032567,6.729008453680875
85,-74.86,-79.42933099992125,14.631832890689319,1.8349725958375451,6.628803099682988
86,-80.85,-79.39212776553975,15.184294847693948,1.8035523662039412,6.650328636843961
87,-78.33,-77.29208661851567,14.630578094678294,1.835440163351655,6.610988023952097
88,-79.19,-78.97355639900363,14.938403844812829,1.8228629786968296,6.695930609369497
89,-77.78,-78.49378618878902,14.898207673044032,1.8204248747825345,6.686060232476225
90,-75.97,-75.4673854005035,16.488085303435067,1.7756869833372244,6.691138781261008
91,-83.06,-79.67627615153962,14.600545546621273,1.8297811131783968,6.637421627333569
92,-78.72,-77.82180310394452,15.052550217534286,1.776571834123885,6.742441000352237
93,-76.4,-78.08335272640406,14.758005438588539,1.8040671386750455,6.694544910179642
94,-82.95,-80.33591386986653,14.595183740681616,1.8336743523223338,6.668801690736176
95,-79.7,-78.7224709118998,14.967342068887163,1.8065568486775296,6.728715040507223
96,-76.81,-77.7859611155368,14.574266438952908,1.8299644404397923,6.642064459316662
97,-80.68,-77.4361757155412,97.80593002750162,1.6800438425231792,6.379295174357169
98,-80.62,-82.35121540426816,14.64821169437484,1.823487564657431,6.648556886227547
99,-77.2,-77.81073065734986,14.755080924277348,1.8027867683770964,6.740575907009511
