step,option,action,obs,termination_prob,should_terminate,greedy_option,cumulative_reward,average_cumulative_reward,waiting_time,speed,lane_density
5.0,0,0,"1.0, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.052835505, 0.052835505, 0.0, 0.0, 0.10567101, 0.15850651, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",1.0,True,0,0.0,0.0,0.0,13.251989206592892,0.4226840436773512
10.0,0,0,"1.0, 0.0, 0.0, 0.0, 1.0, 0.10567101, 0.052835505, 0.21134202, 0.052835505, 0.0, 0.052835505, 0.10567101, 0.26417753, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",1.0,True,0,0.0,0.0,0.0,12.19544033954146,0.8453680873547024
15.0,0,0,"1.0, 0.0, 0.0, 0.0, 1.0, 0.15850651, 0.10567101, 0.31701303, 0.15850651, 0.052835505, 0.10567101, 0.15850651, 0.31701303, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052835505",1.0,True,0,-0.03,-0.0015,0.11538461538461539,9.893759415146121,1.3737231419513913
20.0,0,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.10567101, 0.10567101, 0.47551954, 0.15850651, 0.052835505, 0.15850651, 0.26417753, 0.36984855, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.10567101, 0.0",1.0,True,0,-0.15,-0.008924999999999999,0.2857142857142857,8.270350883602902,1.6907361747094047
25.0,0,0,"0.0, 0.0, 0.0, 1.0, 1.0, 0.10567101, 0.26417753, 0.5811906, 0.15850651, 0.10567101, 0.15850651, 0.42268404, 0.36984855, 0.10567101, 0.052835505, 0.15850651, 0.0, 0.0, 0.052835505, 0.15850651, 0.0",1.0,True,0,-0.41000000000000003,-0.028978750000000005,0.8723404255319149,7.205427113479375,2.166255723846425
30.0,0,0,"1.0, 0.0, 0.0, 0.0, 0.0, 0.10567101, 0.31701303, 0.6868616, 0.21134202, 0.10567101, 0.21134202, 0.52835506, 0.42268404, 0.0, 0.10567101, 0.36984855, 0.0, 0.0, 0.10567101, 0.21134202, 0.052835505",1.0,True,1,-1.06,-0.0805298125,1.8214285714285714,6.157269138566048,2.588939767523776
35.0,1,1,"1.0, 0.0, 0.0, 0.0, 1.0, 0.052835505, 0.36984855, 0.7396971, 0.21134202, 0.052835505, 0.21134202, 0.5811906, 0.47551954, 0.0, 0.15850651, 0.52835506, 0.10567101, 0.0, 0.15850651, 0.31701303, 0.26417753",5.230924606397736e-35,False,0,-2.19,-0.18600332187500002,3.8421052631578947,3.727096481657099,2.6946107784431144
40.0,1,1,"0.0, 1.0, 0.0, 0.0, 0.0, 0.052835505, 0.36984855, 0.8453681, 0.26417753, 0.052835505, 0.15850651, 0.63402605, 0.5811906, 0.0, 0.15850651, 0.6868616, 0.15850651, 0.0, 0.052835505, 0.47551954, 0.42268404",5.649993380439772e-24,False,0,-3.66,-0.35970315578125,5.258064516129032,2.6689779015678434,2.958788305741459
45.0,1,2,"0.0, 1.0, 0.0, 0.0, 1.0, 0.052835505, 0.31701303, 0.8453681, 0.36984855, 0.10567101, 0.10567101, 0.6868616, 0.6868616, 0.052835505, 0.0, 0.79253256, 0.21134202, 0.052835505, 0.0, 0.63402605, 0.52835506",2.561788473497479e-35,False,0,-5.28,-0.6057179979921875,7.6716417910447765,3.4561937655964905,3.170130327580134
50.0,1,1,"0.0, 1.0, 0.0, 0.0, 1.0, 0.052835505, 0.26417753, 0.9510391, 0.5811906, 0.15850651, 0.052835505, 0.79253256, 0.6868616, 0.052835505, 0.0, 0.8453681, 0.26417753, 0.052835505, 0.0, 0.6868616, 0.5811906",2.461071794301127e-37,False,0,-7.43,-0.9469320980925782,9.64935064935065,4.0505216078407305,3.539978865797816
55.0,1,1,"0.0, 1.0, 0.0, 0.0, 1.0, 0.052835505, 0.15850651, 1.0, 0.63402605, 0.15850651, 0.052835505, 0.8982036, 0.7396971, 0.052835505, 0.0, 0.9510391, 0.36984855, 0.10567101, 0.0, 0.79253256, 0.6868616",7.741606052311442e-35,False,0,-9.97,-1.3980854931879492,12.782051282051283,2.6915947209584536,3.6946107784431144
60.0,1,1,"0.0, 1.0, 0.0, 0.0, 1.0, 0.052835505, 0.052835505, 1.0, 0.63402605, 0.21134202, 0.052835505, 0.9510391, 0.8453681, 0.052835505, 0.0, 1.0, 0.52835506, 0.15850651, 0.0, 0.8453681, 0.7396971",2.717888548585076e-37,False,0,-12.96,-1.9761812185285519,16.2,1.8318100096021006,3.800281789362452
65.0,1,1,"0.0, 1.0, 0.0, 0.0, 1.0, 0.052835505, 0.052835505, 1.0, 0.8453681, 0.21134202, 0.052835505, 1.0, 0.9510391, 0.052835505, 0.0, 1.0, 0.63402605, 0.15850651, 0.0, 1.0, 0.79253256",5.205559229816631e-37,False,0,-16.27,-2.6908721576021244,19.141176470588235,1.5753549735752568,4.166255723846425
70.0,1,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.10567101, 0.052835505, 0.9510391, 0.8982036, 0.21134202, 0.052835505, 0.9510391, 1.0, 0.052835505, 0.0, 0.8453681, 0.79253256, 0.15850651, 0.052835505, 0.8453681, 1.0",3.4119094048436274e-30,False,0,-18.76,-3.494328549722018,19.858823529411765,1.0134134971553297,4.222965833039803
75.0,1,2,"0.0, 0.0, 1.0, 0.0, 1.0, 0.10567101, 0.15850651, 0.79253256, 1.0, 0.21134202, 0.052835505, 0.8453681, 1.0, 0.052835505, 0.052835505, 0.5811906, 0.8453681, 0.21134202, 0.052835505, 0.5811906, 1.0",0.0008068094030022621,False,0,-19.76,-4.307612122235917,18.697674418604652,1.6670478482404334,4.166255723846425
80.0,1,2,"0.0, 0.0, 1.0, 0.0, 1.0, 0.15850651, 0.15850651, 0.6868616, 1.0, 0.21134202, 0.10567101, 0.7396971, 1.0, 0.052835505, 0.052835505, 0.36984855, 1.0, 0.21134202, 0.052835505, 0.36984855, 1.0",0.9861125349998474,True,0,-21.12,-5.148231516124121,18.204545454545453,2.9357885682148237,4.060584712927087
85.0,0,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.26417753, 0.15850651, 0.6868616, 0.9510391, 0.26417753, 0.15850651, 0.6868616, 0.9510391, 0.10567101, 0.10567101, 0.21134202, 0.8453681, 0.21134202, 0.052835505, 0.15850651, 0.8453681",1.0,True,0,-22.3,-6.005819940317915,14.415730337078651,3.241811177426903,4.121169425854174
90.0,0,3,"0.0, 0.0, 0.0, 1.0, 1.0, 0.26417753, 0.21134202, 0.6868616, 0.8453681, 0.26417753, 0.15850651, 0.6868616, 0.8453681, 0.10567101, 0.15850651, 0.21134202, 0.5811906, 0.21134202, 0.10567101, 0.15850651, 0.5811906",1.0,True,0,-22.4,-6.825528943302019,10.571428571428571,3.262793147295931,3.962662909475167
95.0,0,3,"0.0, 0.0, 0.0, 1.0, 1.0, 0.36984855, 0.21134202, 0.79253256, 0.6868616, 0.26417753, 0.15850651, 0.79253256, 0.6868616, 0.21134202, 0.15850651, 0.36984855, 0.42268404, 0.26417753, 0.15850651, 0.31701303, 0.36984855",1.0,True,0,-21.73,-7.570752496136918,9.298850574712644,3.062100927086305,3.962662909475167
100.0,0,3,"0.0, 0.0, 0.0, 1.0, 1.0, 0.36984855, 0.21134202, 0.8982036, 0.5811906, 0.26417753, 0.15850651, 0.8982036, 0.52835506, 0.26417753, 0.21134202, 0.5811906, 0.15850651, 0.26417753, 0.15850651, 0.47551954, 0.15850651",1.0,True,0,-21.69,-8.276714871330071,8.25,3.3234733913919796,3.9098274040154983
105.0,0,0,"1.0, 0.0, 0.0, 0.0, 0.0, 0.31701303, 0.26417753, 0.9510391, 0.52835506, 0.21134202, 0.15850651, 0.9510391, 0.52835506, 0.15850651, 0.21134202, 0.7396971, 0.0, 0.10567101, 0.15850651, 0.6868616, 0.052835505",1.0,True,1,-22.14,-8.969879127763567,5.858823529411764,3.008651165484461,3.909827404015498
110.0,1,1,"1.0, 0.0, 0.0, 0.0, 1.0, 0.26417753, 0.26417753, 1.0, 0.63402605, 0.052835505, 0.15850651, 1.0, 0.5811906, 0.0, 0.21134202, 0.8982036, 0.21134202, 0.0, 0.15850651, 0.79253256, 0.15850651",0.0,False,0,-22.66,-9.654385171375388,7.2988505747126435,3.1981940760497873,3.954913702007749
115.0,1,1,"0.0, 1.0, 0.0, 0.0, 0.0, 0.26417753, 0.21134202, 1.0, 0.6868616, 0.10567101, 0.15850651, 1.0, 0.7396971, 0.10567101, 0.10567101, 1.0, 0.36984855, 0.052835505, 0.0, 1.0, 0.31701303",1.3986996977148197e-33,False,0,-24.46,-10.39466591280662,8.079545454545455,2.448372613011301,4.166255723846425
