step,option,action,obs,termination_prob,should_terminate,greedy_option,cumulative_reward,average_cumulative_reward,waiting_time,speed,lane_density
5.0,0,3,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10567101, 0.15850651, 0.10567101, 0.052835505, 0.21134202, 0.10567101, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",0.0,False,0,0.0,0.0,0.0,11.980072056667671,0.7396970764353645
10.0,0,3,"1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.052835505, 0.26417753, 0.26417753, 0.10567101, 0.052835505, 0.31701303, 0.10567101, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",0.0,False,0,0.0,0.0,0.0,11.822136297471872,1.1623811201127157
15.0,0,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.052835505, 0.26417753, 0.21134202, 0.10567101, 0.052835505, 0.42268404, 0.21134202, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.10567101, 0.0",0.0,False,0,-0.05,-0.0025000000000000005,0.17857142857142858,9.718197591822717,1.3208876364917224
20.0,0,3,"0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.052835505, 0.26417753, 0.15850651, 0.10567101, 0.10567101, 0.47551954, 0.15850651, 0.0, 0.052835505, 0.052835505, 0.0, 0.10567101, 0.052835505, 0.15850651, 0.0",0.0,False,0,-0.31,-0.017875000000000002,0.96875,7.507431190201534,1.3208876364917224
25.0,0,3,"0.0, 0.0, 0.0, 1.0, 1.0, 0.052835505, 0.052835505, 0.42268404, 0.15850651, 0.10567101, 0.10567101, 0.52835506, 0.052835505, 0.0, 0.052835505, 0.15850651, 0.0, 0.10567101, 0.052835505, 0.36984855, 0.0",0.0,False,0,-0.8800000000000001,-0.060981250000000015,2.3783783783783785,6.927555409987511,1.479394152870729
30.0,0,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.10567101, 0.10567101, 0.52835506, 0.15850651, 0.21134202, 0.10567101, 0.5811906, 0.0, 0.0, 0.052835505, 0.10567101, 0.0, 0.10567101, 0.10567101, 0.31701303, 0.0",0.0,False,0,-1.37,-0.12643218750000002,2.2857142857142856,6.089660997858343,1.7964071856287425
35.0,0,3,"0.0, 0.0, 1.0, 0.0, 1.0, 0.10567101, 0.10567101, 0.5811906, 0.26417753, 0.21134202, 0.10567101, 0.52835506, 0.10567101, 0.0, 0.052835505, 0.0, 0.10567101, 0.10567101, 0.10567101, 0.10567101, 0.0",0.0,False,0,-1.48,-0.194110578125,2.0869565217391304,5.989973784184482,2.0077492074674184
40.0,0,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.15850651, 0.10567101, 0.5811906, 0.26417753, 0.21134202, 0.10567101, 0.63402605, 0.10567101, 0.052835505, 0.10567101, 0.052835505, 0.0, 0.10567101, 0.10567101, 0.052835505, 0.0",0.0,False,0,-1.88,-0.27840504921875,2.375,4.9395893868254594,2.166255723846425
45.0,0,3,"0.0, 0.0, 0.0, 1.0, 1.0, 0.21134202, 0.15850651, 0.63402605, 0.15850651, 0.26417753, 0.10567101, 0.6868616, 0.15850651, 0.052835505, 0.10567101, 0.21134202, 0.0, 0.21134202, 0.10567101, 0.21134202, 0.0",0.0,False,0,-2.52,-0.39048479675781245,3.509433962264151,5.294366815027414,2.3775977456851
50.0,0,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.26417753, 0.21134202, 0.6868616, 0.15850651, 0.31701303, 0.10567101, 0.7396971, 0.31701303, 0.10567101, 0.10567101, 0.26417753, 0.052835505, 0.21134202, 0.10567101, 0.26417753, 0.0",0.0,False,0,-3.22,-0.5319605569199218,3.9344262295081966,5.300715795863005,2.800281789362452
55.0,0,3,"0.0, 0.0, 1.0, 0.0, 1.0, 0.31701303, 0.21134202, 0.63402605, 0.15850651, 0.31701303, 0.10567101, 0.7396971, 0.42268404, 0.15850651, 0.15850651, 0.15850651, 0.10567101, 0.26417753, 0.10567101, 0.15850651, 0.052835505",0.0,False,0,-3.69,-0.6898625290739258,4.476923076923077,4.456469989419247,2.9059528002817894
60.0,0,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.31701303, 0.21134202, 0.7396971, 0.10567101, 0.36984855, 0.10567101, 0.79253256, 0.52835506, 0.26417753, 0.15850651, 0.052835505, 0.0, 0.31701303, 0.10567101, 0.21134202, 0.052835505",0.0,False,0,-4.7,-0.8903694026202295,5.028985507246377,3.2484378661949798,3.170130327580134
65.0,0,3,"0.0, 0.0, 0.0, 1.0, 1.0, 0.36984855, 0.21134202, 0.79253256, 0.052835505, 0.36984855, 0.10567101, 0.79253256, 0.52835506, 0.31701303, 0.21134202, 0.21134202, 0.0, 0.31701303, 0.10567101, 0.26417753, 0.0",1.041881057926751e-36,False,0,-5.81,-1.136350932489218,6.608695652173913,3.0441334856493083,3.2229658330398028
70.0,0,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.36984855, 0.21134202, 0.7396971, 0.052835505, 0.36984855, 0.10567101, 0.79253256, 0.5811906, 0.31701303, 0.21134202, 0.21134202, 0.0, 0.36984855, 0.10567101, 0.26417753, 0.10567101",0.0,False,0,-6.91,-1.425033385864757,8.014492753623188,2.7131505921404395,3.222965833039803
75.0,0,3,"0.0, 0.0, 1.0, 0.0, 1.0, 0.47551954, 0.21134202, 0.7396971, 0.15850651, 0.36984855, 0.10567101, 0.79253256, 0.7396971, 0.31701303, 0.21134202, 0.21134202, 0.0, 0.36984855, 0.10567101, 0.10567101, 0.26417753",5.082073868969521e-33,False,0,-7.73,-1.7402817165715192,8.56578947368421,3.1862471092722777,3.5928143712574854
80.0,0,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.52835506, 0.21134202, 0.7396971, 0.21134202, 0.36984855, 0.10567101, 0.7396971, 0.7396971, 0.36984855, 0.21134202, 0.15850651, 0.0, 0.36984855, 0.10567101, 0.10567101, 0.26417753",1.1984373901891384e-38,False,0,-8.92,-2.0992676307429434,9.443037974683545,3.3243052466345397,3.645649876717154
85.0,0,1,"0.0, 0.0, 0.0, 1.0, 1.0, 0.52835506, 0.21134202, 0.79253256, 0.21134202, 0.36984855, 0.10567101, 0.7396971, 0.63402605, 0.47551954, 0.21134202, 0.21134202, 0.0, 0.36984855, 0.10567101, 0.21134202, 0.15850651",4.893986128360645e-26,False,0,-10.27,-2.507804249205796,10.5875,3.2149926343239756,3.5928143712574854
90.0,0,3,"0.0, 0.0, 0.0, 1.0, 1.0, 0.5811906, 0.26417753, 0.79253256, 0.26417753, 0.47551954, 0.10567101, 0.79253256, 0.63402605, 0.52835506, 0.21134202, 0.31701303, 0.0, 0.36984855, 0.10567101, 0.26417753, 0.15850651",2.4162154457309494e-37,False,0,-11.88,-2.9764140367455063,11.776470588235295,4.075000175862855,3.9098274040154988
95.0,0,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.5811906, 0.26417753, 0.8453681, 0.36984855, 0.47551954, 0.10567101, 0.8453681, 0.6868616, 0.52835506, 0.21134202, 0.31701303, 0.0, 0.36984855, 0.10567101, 0.31701303, 0.15850651",2.9836754661927398e-28,False,0,-13.31,-3.493093334908231,12.590909090909092,2.9947544781022843,4.174004931313843
100.0,0,1,"0.0, 0.0, 1.0, 0.0, 1.0, 0.5811906, 0.36984855, 0.7396971, 0.42268404, 0.52835506, 0.15850651, 0.79253256, 0.6868616, 0.5811906, 0.26417753, 0.21134202, 0.15850651, 0.47551954, 0.10567101, 0.26417753, 0.21134202",2.4915928091158126e-22,False,0,-14.41,-4.038938668162819,13.722222222222221,2.9259352664653098,4.279675942233181
105.0,0,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.5811906, 0.42268404, 0.79253256, 0.47551954, 0.63402605, 0.15850651, 0.79253256, 0.7396971, 0.5811906, 0.26417753, 0.21134202, 0.15850651, 0.47551954, 0.10567101, 0.21134202, 0.21134202",2.5798033011708534e-20,False,0,-16.16,-4.6449917347546785,13.989690721649485,2.991503147332349,4.596688974991194
110.0,0,1,"0.0, 0.0, 0.0, 1.0, 1.0, 0.5811906, 0.52835506, 0.79253256, 0.47551954, 0.63402605, 0.15850651, 0.79253256, 0.7396971, 0.5811906, 0.36984855, 0.26417753, 0.052835505, 0.52835506, 0.10567101, 0.26417753, 0.15850651",3.228219761278704e-14,False,0,-17.94,-5.309742148016944,15.23469387755102,2.739975726641353,4.702359985910532
115.0,0,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.63402605, 0.52835506, 0.7396971, 0.47551954, 0.63402605, 0.15850651, 0.7396971, 0.79253256, 0.5811906, 0.47551954, 0.15850651, 0.052835505, 0.63402605, 0.15850651, 0.15850651, 0.21134202",9.045115351158373e-11,False,0,-19.73,-6.030755040616097,16.636363636363637,2.3945273421312425,4.702359985910532
120.0,0,0,"0.0, 0.0, 1.0, 0.0, 1.0, 0.6868616, 0.5811906, 0.7396971, 0.5811906, 0.63402605, 0.21134202, 0.7396971, 0.8453681, 0.63402605, 0.52835506, 0.10567101, 0.15850651, 0.63402605, 0.15850651, 0.052835505, 0.31701303",2.8033272720408276e-16,False,0,-21.36,-6.797217288585292,17.653846153846153,2.6114969152476806,5.019373018668546
125.0,0,0,"1.0, 0.0, 0.0, 0.0, 0.0, 0.63402605, 0.5811906, 0.79253256, 0.63402605, 0.63402605, 0.36984855, 0.79253256, 0.8453681, 0.52835506, 0.52835506, 0.10567101, 0.36984855, 0.47551954, 0.15850651, 0.10567101, 0.42268404",3.525168844982149e-14,False,0,-21.97,-7.555856424156028,14.24074074074074,2.3438977547903215,5.2835505459668894
