episode,cumulative_reward,average_cumulative_reward,mean_lane_density,mean_queue_length,avg_travel_time,avg_time_loss,avg_waiting_time,collisions,emergency_stops,emergency_braking
0,-58615.0,-57377.03521486237,3.382359985910532,42.52,143.67265135699373,122.06,86.78,0.0,0.0,0.0
1,-58242.0,-57020.03645940194,3.3637516731243395,42.239,142.7592824363788,121.15,86.18,0.0,0.0,0.0
2,-57691.0,-56472.99317687889,3.3336382529059527,41.983,142.75989890480201,121.04,86.41,0.0,0.0,0.0
3,-56978.0,-55808.242294137424,3.296146882705178,41.265,139.9209321681232,118.28,84.07,0.0,0.0,0.0
4,-60636.0,-59434.57178054602,3.495084889045439,44.046,145.07952691680262,123.41,88.07,0.0,0.0,0.0
5,-59527.0,-58330.74488205038,3.427315251849243,43.199,146.75578947368422,125.08,89.25,0.0,0.0,0.0
6,-58323.0,-57091.86173880136,3.3694681225783722,42.186,142.45711906744378,120.77,85.74,0.0,0.0,0.0
7,-57618.0,-56408.19610543341,3.330268052131032,41.836,142.63456686291002,120.88,86.19,0.0,0.0,0.0
8,-57604.0,-56377.66366580708,3.329243747798521,41.804,142.55728073856483,120.8,86.16,0.0,0.0,0.0
9,-58165.0,-56939.53188034184,3.3568210637548437,42.169,143.63193277310924,122.01,86.92,0.0,0.0,0.0
10,-59959.0,-58750.410255446346,3.4611387812610075,43.476,143.76008146639512,122.14,86.94,0.0,0.0,0.0
11,-58817.0,-57608.26865344624,3.390680873547024,42.753,145.1249474127051,123.47,88.21,0.0,0.0,0.0
12,-59296.0,-58024.45655637282,3.420971116590349,43.108,144.98708333333335,123.24,88.02,0.0,0.0,0.0
13,-57777.0,-56543.293529621325,3.335172948221205,42.026,143.0185497470489,121.35,86.77,0.0,0.0,0.0
14,-60018.0,-58829.963417394945,3.454337090524833,43.495,148.82654792196777,127.05,90.44,0.0,0.0,0.0
15,-57996.0,-56789.66994695298,3.346218034519197,42.179,144.160593220339,122.5,87.55,0.0,0.0,0.0
