step,option,action,obs,termination_prob,should_terminate,greedy_option,cumulative_reward,average_cumulative_reward,waiting_time,speed,lane_density,queue_length
5.0,1,0,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",0.002336967270821333,False,1,-2.0,-0.1,0.0,12.693567613824754,0.1056710109193378,0
10.0,1,0,"1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.052835505, 0.052835505, 0.052835505, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",0.0030707826372236013,False,1,-6.0,-0.395,0.0,12.975765657884086,0.2113420218386756,0
15.0,1,1,"0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10567101, 0.052835505, 0.0, 0.052835505, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",6.517685687867925e-05,False,1,-10.0,-0.87525,0.0,11.29523382005224,0.2641775272983445,0
20.0,1,1,"0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.10567101, 0.052835505, 0.0, 0.10567101, 0.052835505, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052835505",0.00026223406894132495,False,0,-16.0,-1.6314875,0.375,8.700660566685784,0.36984853821768227,1
25.0,1,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.10567101, 0.0, 0.0, 0.10567101, 0.052835505, 0.052835505, 0.0, 0.0, 0.10567101, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.10567101, 0.0, 0.0, 0.052835505, 0.0, -0.052835505",7.055020432744641e-06,False,1,-21.0,-2.599913125,0.7777777777777778,7.482058827252652,0.3170130327580134,3
30.0,1,2,"0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.052835505, 0.15850651, 0.052835505, 0.0, 0.10567101, 0.10567101, 0.15850651, 0.0, 0.0, 0.10567101, 0.0, 0.0, 0.10567101, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0",0.0027876771055161953,False,0,-31.0,-4.01991746875,1.7142857142857142,8.741902970302469,0.6340260655160268,4
35.0,1,1,"0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.15850651, 0.052835505, 0.0, 0.052835505, 0.15850651, 0.10567101, 0.0, 0.0, 0.10567101, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.10567101, 0.052835505, 0.0",0.00011998134868917987,False,1,-39.0,-5.7689215953125,1.8,9.371616637808872,0.5811905600563578,3
40.0,1,0,"0.0, 1.0, 0.0, 0.0, 1.0, 0.052835505, 0.0, 0.15850651, 0.052835505, 0.0, 0.0, 0.15850651, 0.10567101, 0.0, 0.0, 0.10567101, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",0.0006906915223225951,False,0,-46.0,-7.780475515546875,3.0,8.39406116215462,0.528355054596689,3
45.0,1,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.10567101, 0.0, 0.21134202, 0.0, 0.052835505, 0.0, 0.21134202, 0.052835505, 0.0, 0.0, 0.15850651, 0.0, 0.0, 0.0, 0.10567101, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.052835505, 0.0",1.1922702469746582e-05,False,1,-55.0,-10.141451739769531,3.5294117647058822,7.049497187979761,0.6340260655160268,5
50.0,1,2,"0.0, 0.0, 0.0, 1.0, 1.0, 0.10567101, 0.0, 0.31701303, 0.052835505, 0.052835505, 0.0, 0.21134202, 0.0, 0.052835505, 0.0, 0.15850651, 0.0, 0.0, 0.0, 0.15850651, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.0",0.009668014943599701,False,0,-65.0,-12.884379152781055,5.055555555555555,7.628991975075725,0.7396970764353645,7
55.0,1,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.10567101, 0.0, 0.26417753, 0.052835505, 0.052835505, 0.0, 0.21134202, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.15850651, 0.0, 0.0, 0.0, -0.15850651, 0.0",0.00015627012180630118,False,1,-74.0,-15.940160195142003,0.3333333333333333,6.9628580211598985,0.6868615709756957,1
60.0,1,0,"0.0, 0.0, 1.0, 0.0, 1.0, 0.15850651, 0.0, 0.26417753, 0.052835505, 0.10567101, 0.0, 0.10567101, 0.0, 0.10567101, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",0.004010007716715336,False,1,-81.0,-19.193152185384903,0.6842105263157895,9.29550847043012,0.6868615709756957,2
65.0,1,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.15850651, 0.0, 0.21134202, 0.0, 0.15850651, 0.0, 0.15850651, 0.0, 0.10567101, 0.0, 0.052835505, 0.0, 0.052835505, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.052835505, 0.0, 0.052835505, 0.0",4.490756327868439e-05,False,1,-86.0,-22.533494576115658,1.5714285714285714,8.428580120016054,0.6868615709756957,5
70.0,1,1,"0.0, 0.0, 0.0, 1.0, 1.0, 0.15850651, 0.0, 0.21134202, 0.052835505, 0.15850651, 0.0, 0.15850651, 0.0, 0.10567101, 0.0, 0.15850651, 0.0, 0.052835505, 0.0, 0.10567101, 0.0, 0.0, 0.0, 0.10567101, 0.0, 0.0, 0.0, 0.052835505, 0.0",0.0046356902457773685,False,0,-97.0,-26.256819847309874,3.8823529411764706,5.327905510148844,0.7396970764353645,8
75.0,1,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.15850651, 0.0, 0.21134202, 0.052835505, 0.15850651, 0.0, 0.10567101, 0.10567101, 0.15850651, 0.0, 0.052835505, 0.0, 0.10567101, 0.0, 0.0, 0.0, 0.052835505, 0.0, -0.10567101, 0.0, 0.052835505, 0.0, -0.10567101, 0.0",0.00011270728282397613,False,1,-110.0,-30.44397885494438,3.5555555555555554,5.176254047790697,0.7925325818950335,6
80.0,1,2,"0.0, 0.0, 1.0, 0.0, 1.0, 0.15850651, 0.0, 0.15850651, 0.10567101, 0.15850651, 0.0, 0.0, 0.10567101, 0.15850651, 0.0, 0.0, 0.0, 0.15850651, 0.0, 0.0, 0.0, 0.0, 0.0, -0.052835505, 0.0, 0.052835505, 0.0, 0.0, 0.0",0.003322332864627242,False,1,-117.0,-34.77177991219716,4.631578947368421,7.57524847544186,0.6868615709756957,6
85.0,1,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.15850651, 0.0, 0.15850651, 0.052835505, 0.15850651, 0.0, 0.0, 0.10567101, 0.15850651, 0.0, 0.052835505, 0.0, 0.15850651, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0",4.406404332257807e-05,False,1,-122.0,-39.1331909165873,5.95,7.408201774527221,0.6340260655160268,7
90.0,1,2,"0.0, 0.0, 0.0, 1.0, 1.0, 0.15850651, 0.0, 0.15850651, 0.0, 0.15850651, 0.0, 0.0, 0.052835505, 0.15850651, 0.0, 0.15850651, 0.0, 0.15850651, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10567101, 0.0, 0.0, 0.0, 0.0, 0.0",0.004769098479300737,False,1,-127.0,-43.52653137075794,10.666666666666666,5.149293967184347,0.528355054596689,9
95.0,1,1,"0.0, 1.0, 0.0, 0.0, 0.0, 0.21134202, 0.0, 0.15850651, 0.052835505, 0.15850651, 0.0, 0.052835505, 0.052835505, 0.15850651, 0.0, 0.15850651, 0.0, 0.15850651, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",4.661167986341752e-05,False,1,-137.0,-48.20020480222004,12.8125,4.791983098271395,0.6868615709756957,9
