step,option,action,obs,termination_prob,should_terminate,greedy_option,cumulative_reward,average_cumulative_reward,waiting_time,speed,lane_density
5.0,0,0,"1.0, 0.0, 0.0, 0.0, 0.0, 0.15850651, 0.0, 0.052835505, 0.15850651, 0.10567101, 0.0, 0.21134202, 0.052835505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,0.0,0.0,0.0,11.686933920051702,0.7396970764353645
10.0,0,0,"1.0, 0.0, 0.0, 0.0, 1.0, 0.21134202, 0.0, 0.21134202, 0.15850651, 0.15850651, 0.052835505, 0.36984855, 0.10567101, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0",,True,0,0.0,0.0,0.0,11.526878923792857,1.2680521310320536
15.0,0,0,"1.0, 0.0, 0.0, 0.0, 1.0, 0.10567101, 0.0, 0.36984855, 0.21134202, 0.15850651, 0.052835505, 0.42268404, 0.26417753, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052835505, 0.0",,True,0,-0.02,-0.001,0.058823529411764705,9.773146611336506,1.585065163790067
20.0,0,0,"1.0, 0.0, 0.0, 0.0, 1.0, 0.10567101, 0.052835505, 0.42268404, 0.31701303, 0.10567101, 0.10567101, 0.5811906, 0.36984855, 0.0, 0.0, 0.10567101, 0.15850651, 0.0, 0.052835505, 0.21134202, 0.10567101",,True,0,-0.37,-0.01945,0.8043478260869565,7.9148286086344966,2.060584712927087
25.0,0,1,"0.0, 1.0, 0.0, 0.0, 0.0, 0.10567101, 0.052835505, 0.42268404, 0.31701303, 0.21134202, 0.10567101, 0.63402605, 0.36984855, 0.0, 0.0, 0.26417753, 0.15850651, 0.0, 0.0, 0.31701303, 0.15850651",,True,0,-1.05,-0.0709775,2.1875,5.737788023199875,2.219091229306094
30.0,0,1,"0.0, 1.0, 0.0, 0.0, 1.0, 0.21134202, 0.0, 0.47551954, 0.42268404, 0.26417753, 0.052835505, 0.6868616, 0.36984855, 0.052835505, 0.0, 0.36984855, 0.26417753, 0.052835505, 0.0, 0.47551954, 0.31701303",,True,0,-2.25,-0.179928625,4.411764705882353,3.7282963757558534,2.4832687566044385
35.0,0,2,"0.0, 0.0, 1.0, 0.0, 0.0, 0.21134202, 0.052835505, 0.47551954, 0.47551954, 0.26417753, 0.10567101, 0.63402605, 0.42268404, 0.10567101, 0.0, 0.26417753, 0.31701303, 0.15850651, 0.052835505, 0.47551954, 0.36984855",,True,0,-3.61,-0.35143219375,5.418181818181818,3.4586874642382646,2.6417752729834447
40.0,0,2,"0.0, 0.0, 1.0, 0.0, 1.0, 0.21134202, 0.10567101, 0.36984855, 0.5811906, 0.26417753, 0.15850651, 0.5811906, 0.63402605, 0.15850651, 0.0, 0.052835505, 0.36984855, 0.26417753, 0.052835505, 0.26417753, 0.36984855",,True,0,-4.35,-0.5513605840625,5.258064516129032,4.331276504660075,2.9059528002817894
45.0,0,3,"0.0, 0.0, 0.0, 1.0, 0.0, 0.26417753, 0.10567101, 0.42268404, 0.5811906, 0.31701303, 0.15850651, 0.63402605, 0.63402605, 0.21134202, 0.0, 0.052835505, 0.31701303, 0.26417753, 0.10567101, 0.15850651, 0.26417753",,True,0,-5.2,-0.7837925548593749,3.926470588235294,3.958413183600275,3.1172948221204653
50.0,0,2,"0.0, 0.0, 0.0, 1.0, 1.0, 0.26417753, 0.10567101, 0.52835506, 0.52835506, 0.36984855, 0.15850651, 0.63402605, 0.63402605, 0.21134202, 0.052835505, 0.15850651, 0.10567101, 0.26417753, 0.10567101, 0.21134202, 0.15850651",,True,0,-5.44,-1.016602927116406,3.1857142857142855,3.983181974688121,3.2229658330398028
55.0,0,3,"0.0, 0.0, 0.0, 1.0, 1.0, 0.26417753, 0.10567101, 0.5811906, 0.42268404, 0.42268404, 0.21134202, 0.7396971, 0.63402605, 0.26417753, 0.10567101, 0.36984855, 0.0, 0.31701303, 0.15850651, 0.36984855, 0.10567101",,True,0,-5.82,-1.2567727807605857,4.473684210526316,3.9373086070028793,3.38147234941881
60.0,0,3,"0.0, 0.0, 0.0, 1.0, 1.0, 0.26417753, 0.10567101, 0.5811906, 0.36984855, 0.42268404, 0.26417753, 0.79253256, 0.5811906, 0.26417753, 0.10567101, 0.47551954, 0.0, 0.36984855, 0.15850651, 0.52835506, 0.0",,True,0,-7.13,-1.5504341417225564,6.605263157894737,4.031843847141072,3.3814723494188095
