episode,cumulative_reward,average_cumulative_reward,mean_lane_density,mean_queue_length,avg_travel_time,avg_time_loss,avg_waiting_time,collisions,emergency_stops,emergency_braking
0,-6951.0,-6893.942579264645,1.0291610887066376,4.834722222222222,46.63963963963964,23.73,9.59,0.0,0.0,0.0
1,-6518.0,-6478.557408651914,1.0085932780091973,4.383333333333334,45.40470235117559,22.69,8.82,0.0,0.0,0.0
2,-6258.0,-6201.517464574119,0.9822230901729864,4.076388888888889,44.772272272272275,22.01,8.34,0.0,0.0,0.0
3,-6506.0,-6461.419621060783,0.9982057875523019,4.3375,45.61730865432716,22.79,8.9,0.0,0.0,0.0
4,-6520.0,-6471.628955229583,1.007719790947824,4.470833333333333,45.77538769384692,22.91,9.35,0.0,0.0,0.0
5,-6264.0,-6218.22120030784,0.9829047388007455,4.0777777777777775,44.981990995497746,22.14,8.49,0.0,0.0,0.0
6,-6493.0,-6450.792491452782,0.9941174283230484,4.286111111111111,44.927963981991,22.04,8.31,0.0,0.0,0.0
7,-6341.0,-6297.991606304031,0.9800412374933096,4.129166666666666,44.572072072072075,21.77,8.12,0.0,0.0,0.0
8,-6468.0,-6426.9779739311625,0.9645929346081604,4.302777777777778,45.05752876438219,22.34,8.64,0.0,0.0,1.0
9,-6119.0,-6073.697938517978,0.9675753536132592,4.027777777777778,44.594297148574285,21.71,8.1,0.0,0.0,2.0
10,-6295.0,-6254.529410322952,0.9580602279126391,4.225,44.46196196196196,21.73,8.12,0.0,0.0,0.0
11,-6456.0,-6397.786718376735,0.9958240667149005,4.358333333333333,44.92196098049025,22.15,8.64,0.0,0.0,0.0
12,-6451.0,-6398.855640228465,0.9955190155141671,4.248611111111111,44.8983983983984,22.12,8.39,0.0,0.0,0.0
13,-6789.0,-6729.352087509197,1.0367636361990535,4.673611111111111,46.506506506506504,23.65,9.67,0.0,0.0,0.0
14,-6523.0,-6463.104981082917,1.0003323969612927,4.416666666666667,45.37168584292146,22.61,8.73,0.0,0.0,1.0
15,-6551.0,-6494.0261148294285,1.0022881709038745,4.441666666666666,45.45695695695696,22.74,9.09,0.0,0.0,0.0
16,-6648.0,-6601.9710701069225,1.0059063111575595,4.5125,45.410205102551274,22.6,8.74,0.0,0.0,1.0
17,-6610.0,-6551.702932556346,0.9865519611236206,4.466666666666667,45.049024512256125,22.25,8.46,0.0,0.0,0.0
18,-6540.0,-6494.509099315381,0.9899928017900105,4.334722222222222,44.986993496748376,22.18,8.33,0.0,0.0,1.0
19,-6584.0,-6522.460943303923,0.9914977306570827,4.429166666666666,45.383191595797896,22.54,8.64,0.0,0.0,1.0
20,-6343.0,-6302.298095292635,0.9657750251316293,4.211111111111111,44.733866933466736,21.88,8.3,0.0,0.0,0.0
21,-6419.0,-6370.325698978588,0.9805265925647549,4.201388888888889,44.9054054054054,22.07,8.19,0.0,0.0,0.0
22,-7008.0,-6958.662124154641,1.0656355327640168,4.775,46.88188188188188,24.12,9.78,0.0,0.0,0.0
23,-6487.0,-6444.22972636797,0.9865020728665103,4.277777777777778,45.639319659829916,22.78,8.63,0.0,0.0,1.0
24,-6623.0,-6559.55896754315,1.0520194944055137,4.455555555555556,46.42363545317977,23.61,9.48,0.0,0.0,0.0
25,-6508.0,-6463.043861812099,0.9801036460556604,4.319444444444445,45.3028028028028,22.61,8.73,0.0,0.0,0.0
26,-6521.0,-6469.154726178023,1.0078904547177097,4.393055555555556,45.28028028028028,22.44,8.67,0.0,0.0,0.0
27,-6531.0,-6467.031328285645,1.0337727124642502,4.395833333333333,45.9639819909955,23.14,9.26,0.0,0.0,0.0
28,-6449.0,-6398.249965133807,0.9682321619225983,4.293055555555555,45.366366366366364,22.53,8.65,0.0,0.0,0.0
29,-6415.0,-6364.262999954111,0.9965809362510579,4.358333333333333,45.17208604302151,22.42,8.84,0.0,0.0,0.0
30,-6401.0,-6363.457743553632,1.0052368444163422,4.272222222222222,45.173173173173176,22.27,8.68,0.0,0.0,1.0
31,-6608.0,-6566.944506690961,1.0080591353746133,4.463888888888889,45.51775887943972,22.82,9.05,0.0,0.0,0.0
32,-6269.0,-6227.827065421546,0.9592741880400781,4.251388888888889,44.528264132066035,21.67,8.35,0.0,0.0,1.0
33,-6388.0,-6333.239567783445,0.9832530874220421,4.1375,44.945972986493246,22.16,8.2,0.0,0.0,0.0
34,-6435.0,-6391.616276871588,0.9667843563615978,4.2,44.927963981991,22.09,8.16,0.0,0.0,2.0
35,-6772.0,-6718.716545770658,1.0300390382578537,4.634722222222222,45.98447671507261,23.16,9.1,0.0,0.0,1.0
36,-6560.0,-6512.332267742858,0.9951902846996574,4.341666666666667,45.407907907907905,22.61,8.54,0.0,0.0,1.0
37,-6720.0,-6663.4485599803975,0.9954060197838667,4.558333333333334,45.613613613613616,22.79,8.83,0.0,0.0,0.0
